volume_author,bestseller_author,aRatio,trunc_volumetitle,volume_title,trunc_bestsellertitle,bestseller_title,tRatio,original_tRaio,volume_year,bestseller_year,docid
"dennis, patrick","dennis, patrick",100,around the world with auntie m,around the world with auntie mame by patrick dennis.,around the world with auntie m,around the world with auntie mame,106,100,1958.0,1958,mdp.39015057934286
"bromfield, louis","bromfield, louis",100,strange case of miss annie spr,the strange case of miss annie spragg.,strange case of miss annie spr,the strange case of miss annie spragg,106,100,1928.0,1928,uc1.b3687211
"garner, james finn","garner, james finn",100,politically correct bedtime st,politically correct bedtime stories james finn garner.,politically correct bedtime st,politically correct bedtime stories,106,100,1994.0,1995,mdp.39015037456236
"caldwell, taylor","caldwell, taylor",100,"never victorious, never defeat","never victorious, never defeated.","never victorious, never defeat","never victorious, never defeated",106,100,1954.0,1954,uc1.b3481743
"fox, john","fox, john jr.",82,little shepherd of kingdom com,"the little shepherd of kingdom come by john fox, jr. ; illustrated by f.c. yohn.",little shepherd of kingdom com,the little shepherd of kingdom come,106,100,1903.0,1904,uva.x004639182
"hemingway, ernest","hemingway, ernest",100,across the river and into the ,across the river and into the trees.,across the river and into the ,across the river and into the trees,106,100,1950.0,1950,uc1.32106005369274
"mcmillan, terry","mcmillan, terry",100,how stella got her groove back,how stella got her groove back terry mcmillan.,how stella got her groove back,how stella got her groove back,106,100,1996.0,1996,mdp.39015031879979
"remarque, erich maria","remarque, erich maria",100,all quiet on the western front,all quiet on the western front; translated from the german by a. w. wheen.,all quiet on the western front,all quiet on the western front,106,100,1929.0,1929,mdp.39015066062418
"rice, alice caldwell hegan","rice, alice hegan",79,mrs. wiggs of the cabbage patc,mrs. wiggs of the cabbage patch,mrs. wiggs of the cabbage patc,mrs. wiggs of the cabbage patch,106,100,1901.0,1903,uc2.ark+=13960=t0zp3wv0g
"breslin, jimmy","breslin, jimmy",100,gang that couldn't shoot strai,the gang that couldn't shoot straight.,gang that couldn't shoot strai,the gang that couldn't shoot straight,106,100,1969.0,1970,mdp.39015030850682
"erskine, john","erskine, john",100,private life of helen of troy,"the private life of helen of troy, by john erskine.",private life of helen of troy,the private life of helen of troy,105,100,1925.0,1926,uc1.b3687467
"major, charles","major, charles",100,when knighthood was in flower,"when knighthood was in flower; or, the love story of charles brandon and mary tudor, the king's sister, and happening in the reign of ... henry viii; rewritten and rendered into modern english from sir edwin caskoden's memoir, by edwin caskoden [pseud.]",when knighthood was in flower,when knighthood was in flower,105,100,1898.0,1900,uc1.b3550216
"major, charles","major, charles",100,dorothy vernon of haddon hall,dorothy vernon of haddon hall by charles major ; illustrations by howard chandler christy.,dorothy vernon of haddon hall,dorothy vernon of haddon hall,105,100,1902.0,1902,mdp.49015000541525
"le carré, john","le carre, john",93,spy who came in from the cold,"the spy who came in from the cold, by john le carre, pseud.",spy who came in from the cold,the spy who came in from the cold,105,100,1963.0,1964,uc1.32106011199525
"craven, margaret","craven, margaret",100,i heard the owl call my name,i heard the owl call my name.,i heard the owl call my name,i heard the owl call my name,104,100,1973.0,1974,mdp.39015066051817
"wilson, sloan","wilson, sloan",100,man in the gray flannel suit,the man in the gray flannel suit.,man in the gray flannel suit,the man in the gray flannel suit,104,100,1955.0,1955,uc1.b4411041
"le carré, john","le carre, john",93,"tinker, tailor, soldier, spy","tinker, tailor, soldier, spy [by] john le carré.","tinker, tailor, soldier, spy","tinker, tailor, soldier, spy",104,100,1974.0,1974,mdp.39015004263276
"wilson, sloan","wilson, sloan",100,man in the gray flannel suit,the man in the gray flannel suit ii sloan wilson.,man in the gray flannel suit,the man in the gray flannel suit,104,100,1984.0,1955,mdp.39015005571347
"burnett, frances (hodgson)","burnett, frances hodgson",96,head of the house of coombe,"the head of the house of coombe, by frances hodgson burnett.",head of the house of coombe,the head of the house of coombe,103,100,1922.0,1922,nyp.33433081937322
"nicholson, meredith","nicholson, meredith",100,house of a thousand candles,the house of a thousand candles by meredith nicholson ; with illustrations by howard chandler christy.,house of a thousand candles,the house of a thousand candles,103,100,1905.0,1906,wu.89047436936
"caldwell, taylor","caldwell, taylor",100,dear and glorious physician,dear and glorious physician taylor caldwell.,dear and glorious physician,dear and glorious physician,103,100,1959.0,1959,pst.000032220704
"jong, erica","jong, erica",100,fanny  being the true history ,fanny  being the true history of the adventures of fanny hackabout-jones a novel by erica jong.,"fanny, being the true history ","fanny, being the true history of the adventures of fanny hackabout jones",103,97,1980.0,1980,pst.000029903801
"vonnegut, kurt","vonnegut, kurt",100,"slapstick or, lonesome no more","slapstick or, lonesome no more] a novel by kurt vonnegut.","slapstick: or, lonesome no mor","slapstick: or, lonesome no more!",103,97,1976.0,1976,mdp.39015020747013
"stone, irving","stone, irving",100,greek treasure a biographical ,the greek treasure a biographical novel of henry and sophia schliemann by irving stone.,greek treasure: a biographical,the greek treasure: a biographical novel of henry and sophia schliemann,103,97,1975.0,1975,mdp.39015050822975
"bach, richard","bach, richard",100,jonathan livingston seagull,jonathan livingston seagull. photos. by russell munson.,jonathan livingston seagull,jonathan livingston seagull,103,100,1970.0,1973,mdp.39015047597573
"wiggin, kate douglas smith","wiggin, kate douglas",87,rebecca of sunnybrook farm,rebecca of sunnybrook farm,rebecca of sunnybrook farm,rebecca of sunnybrook farm,102,100,1903.0,1904,uc2.ark+=13960=t79s1mz76
"fox, john","fox, john jr.",82,trail of the lonesome pine,"the trail of the lonesome pine, by john fox, jr.; illustrated by f. c. yohn.",trail of the lonesome pine,the trail of the lonesome pine,102,100,1908.0,1909,mdp.39015011402230
"connor, ralph","connor, ralph",100,sky pilot in no man's land,the sky pilot in no man's land by ralph connor.,sky pilot in no man's land,the sky pilot in no man's land,102,100,1919.0,1919,mdp.39015059407935
"hobart, alice tisdale nourse, mrs","hobart, alice tisdale",78,oil for the lamps of china,oil for the lamps of china alice tisdale hobart.,oil for the lamps of china,oil for the lamps of china,102,100,1933.0,1934,uc1.b3688431
"goss, charles frederic","goss, charles frederic",100,redemption of david corson,the redemption of david corson by charles frederic goss.,redemption of david corson,the redemption of david corson,102,100,1900.0,1900,nyp.33433076089436
"wiggin, kate douglas smith","wiggin, kate douglas",87,rebecca of sunnybrook farm,rebecca of sunnybrook farm by kate douglas wiggin.,rebecca of sunnybrook farm,rebecca of sunnybrook farm,102,100,1903.0,1904,mdp.39015017929921
"wright, harold bell","wright, harold bell",100,re-creation of brian kent,"the re-creation of brian kent, a novel, by harold bell wright ... illustrations by j. allen st. john.",re-creation of brian kent,the re-creation of brian kent,101,100,1919.0,1920,mdp.39015033609358
"shute, nevil","shute, nevil",100,trustee from the toolroom,trustee from the toolroom [by] nevil shute [pseud.],trustee from the toolroom,trustee from the toolroom,101,100,1960.0,1960,mdp.39015014215498
"morgan, marlo","morgan, marlo",100,mutant message down under,mutant message down under marlo morgan ; illustrated by carri garrison.,mutant message down under,mutant message down under,101,100,1994.0,1994,mdp.39015032612809
"mccutcheon, george barr","mccutcheon, george barr",100,daughter of anderson crow,"the daughter of anderson crow, by george barr mccutcheon ... with illustrations by b. martin justice.",daughter of anderson crow,the daughter of anderson crow,101,100,1907.0,1907,nyp.33433076075609
