volume_author,prize_author,aRatio,trunc_volumetitle,volume_title,trunc_prizetitle,prize_title,tRatio,original_tRaio,volume_year,prize_year,docid,prize,nationality
"sinclair, upton","sinclair, upton",100,king midas;,king midas;,dragon's te,dragon's teeth,26,27,1901.0,1943,uc2.ark+=13960=t7qn60n8f,pulitzer,US
"galsworthy, john","galsworthy, john",100,a man of ,"a man of devon, by john galsworthy.",#matchall,#matchall,19,22,1910.0,1932,mdp.39015003681346,nobel,UK
"undset, sigrid","undset, sigrid",100,four stor,four stories. translated from the norwegian by naomi walford.,#matchall,#matchall,8,11,1949.0,1928,mdp.39015009202154,nobel,Norway
"undset, sigrid","undset, sigrid",100,jenny; a ,jenny; a novel translated from the norwegian of sigrid undset by w. emmé.,#matchall,#matchall,8,11,1949.0,1928,wu.89055736698,nobel,Norway
"galsworthy, john","galsworthy, john",100,man of pr,"the man of property, by john galsworthy ...",#matchall,#matchall,19,22,1906.0,1932,nyp.33433074855382,nobel,UK
"galsworthy, john","galsworthy, john",100,country h,the country house [a novel] by john galsworthy ...,#matchall,#matchall,19,22,1907.0,1932,nyp.33433074855507,nobel,UK
"galsworthy, john","galsworthy, john",100,country h,the country house,#matchall,#matchall,19,22,1907.0,1932,uva.x030832858,nobel,UK
"galsworthy, john","galsworthy, john",100,a comment,a commentary,#matchall,#matchall,19,22,1908.0,1932,uc2.ark+=13960=t05x2b34t,nobel,UK
"galsworthy, john","galsworthy, john",100,villa rub,"villa rubein, by john galsworthy ...",#matchall,#matchall,19,22,1908.0,1932,mdp.39015066688550,nobel,UK
"galsworthy, john","galsworthy, john",100,fraternit,"fraternity,",#matchall,#matchall,19,22,1909.0,1932,mdp.39015004921915,nobel,UK
"galsworthy, john","galsworthy, john",100,"a motley,","a motley,",#matchall,#matchall,30,33,1910.0,1932,nyp.33433074855374,nobel,UK
"undset, sigrid","undset, sigrid",100,master of,the master of hestviken sigrid undset ; translated from the norwegian by arthur g. chater.,#matchall,#matchall,30,33,1930.0,1928,mdp.39015003488916,nobel,Norway
"galsworthy, john","galsworthy, john",100,patrician,"the patrician, by john galsworthy.",#matchall,#matchall,41,44,1911.0,1932,mdp.49015000979592,nobel,UK
"galsworthy, john","galsworthy, john",100,island ph,the island pharisees.,#matchall,#matchall,19,22,1911.0,1932,nyp.33433074855390,nobel,UK
"galsworthy, john","galsworthy, john",100,for love ,for love of beasts.,#matchall,#matchall,8,11,1912.0,1932,njp.32101025263359,nobel,UK
"gjellerup, karl","gjellerup, karl",100,pilgrim k,"the pilgrim kaminita. a legendary romance, by karl gjellerup. translated by john e. logie.",#matchall,#matchall,8,11,1912.0,1917,mdp.39015024520994,nobel,Denmark
"galsworthy, john","galsworthy, john",100,inn of tr,the inn of tranquillity,#matchall,#matchall,8,11,1912.0,1932,uc2.ark+=13960=t8hd7rf0c,nobel,UK
"galsworthy, john","galsworthy, john",100,inn of tr,the inn of tranquility; studies and essays,#matchall,#matchall,8,11,1912.0,1932,uc1.31822038204699,nobel,UK
"galsworthy, john","galsworthy, john",100,dark flow,"the dark flower,",#matchall,#matchall,19,22,1913.0,1932,mdp.39015065936125,nobel,UK
"gjellerup, karl","gjellerup, karl",100,minna;,minna;,#match,#matchall,27,33,1913.0,1917,uc2.ark+=13960=t4xg9jc3h,nobel,Denmark
"undset, sigrid","undset, sigrid",100,mistress ,the mistress of husaby sigrid undset,#matchall,#matchall,19,22,1949.0,1928,uc1.32106013788002,nobel,Norway
"undset, sigrid","undset, sigrid",100,kristin l,kristin lavransdatter; translated from the norwegian.,#matchall,#matchall,19,22,1946.0,1928,mdp.39015042861362,nobel,Norway
"galsworthy, john","galsworthy, john",100,freelands,"the freelands, by john galsworthy ...",#matchall,#matchall,8,11,1915.0,1932,mdp.39015003681460,nobel,UK
"undset, sigrid","undset, sigrid",100,in the wi,in the wilderness.,#matchall,#matchall,19,22,1929.0,1928,pst.000022805287,nobel,Norway
"faulkner, william","faulkner, william",100,as i lay ,as i lay dying the corrected text william faulkner.,#matchall,#matchall,19,22,1930.0,1949,mdp.39015056664553,nobel,US
"faulkner, william","faulkner, william",100,"novels, 1","novels, 1926-1929 william faulkner",#matchall,#matchall,8,11,1962.0,1949,uc1.32106018935491,nobel,US
"undset, sigrid","undset, sigrid",100,cross; tr,the cross; translated from the norwegian of sigrid undset by charles archer.,#matchall,#matchall,8,11,1927.0,1928,mdp.39015002256983,nobel,Norway
"undset, sigrid","undset, sigrid",100,bridal wr,"the bridal wreath, tr. from the norwegian of sigrid undset by c. archer and j. s. scott.",#matchall,#matchall,19,22,1928.0,1928,mdp.39015046378983,nobel,Norway
"undset, sigrid","undset, sigrid",100,mistress ,"the mistress of husaby; translated from the norwegian of sigrid undset, by charles archer.",#matchall,#matchall,19,22,1928.0,1928,mdp.39015000583453,nobel,Norway
"undset, sigrid","undset, sigrid",100,"axe, by s","the axe, by sigrid undset, translated from the norwegian by arthur g. chater.",#matchall,#matchall,8,11,1929.0,1928,mdp.39015030021797,nobel,Norway
"undset, sigrid","undset, sigrid",100,snake pit,"the snake pit, by sigrid undset, translated from the norwegian by arthur g. chater.",#matchall,#matchall,19,22,1929.0,1928,mdp.39015030021789,nobel,Norway
"undset, sigrid","undset, sigrid",100,kristin l,"kristin lavransdatterthe bridal wreath, the mistress of husaby, the cross",#matchall,#matchall,19,22,1929.0,1928,uc1.32106006000209,nobel,Norway
"undset, sigrid","undset, sigrid",100,jenny tra,jenny translated from the norwegian of sigrid undset by w. emmé.,#matchall,#matchall,19,22,1930.0,1928,mdp.39015004194802,nobel,Norway
"undset, sigrid","undset, sigrid",100,true and ,true and untrue and other norse tales edited and compiled by sigrid undset. illustrated by frederick t. chapman.,#matchall,#matchall,19,22,1945.0,1928,pst.000020858407,nobel,Norway
"undset, sigrid","undset, sigrid",100,son aveng,"the son avenger, by sigrid undset; translated from the norwegian by arthur g. chater.",#matchall,#matchall,8,11,1930.0,1928,mdp.39015030021755,nobel,Norway
"undset, sigrid","undset, sigrid",100,wild orch,"the wild orchid,",#matchall,#matchall,19,22,1929.0,1928,mdp.39015010832015,nobel,Norway
"undset, sigrid","undset, sigrid",100,longest y,the longest years by sigrid undset; translated from the norwegian by arthur g. chater.,#matchall,#matchall,8,11,1935.0,1928,mdp.39015030021896,nobel,Norway
"undset, sigrid","undset, sigrid",100,gunnar's ,gunnar's daughter translated from the norwegian by arthur g. chater.,#matchall,#matchall,8,11,1936.0,1928,mdp.39015002702796,nobel,Norway
"undset, sigrid","undset, sigrid",100,faithful ,the faithful wife $ftranslated from the norwegian by arthur g. chater.,#matchall,#matchall,41,44,1937.0,1928,mdp.39015002703778,nobel,Norway
"undset, sigrid","undset, sigrid",100,kristin l,kristin lavransdatter sigrid undset.,#matchall,#matchall,19,22,1937.0,1928,mdp.49015001238956,nobel,Norway
"undset, sigrid","undset, sigrid",100,images in,"images in a mirror, by sigrid undset; translated from the norwegian by arthur g. chater.",#matchall,#matchall,19,22,1938.0,1928,mdp.39015031405320,nobel,Norway
"undset, sigrid","undset, sigrid",100,madame do,madame dorthea ; tr. from the norwegian by arthur g. chater.,#matchall,#matchall,30,33,1940.0,1928,mdp.39015055252582,nobel,Norway
"galsworthy, john","galsworthy, john",100,memories,memories,#matchal,#matchall,8,12,1914.0,1932,uc2.ark+=13960=t9v12b38g,nobel,UK
"galsworthy, john","galsworthy, john",100,little ma,"the little man, and other satires,",#matchall,#matchall,19,22,1915.0,1932,uc1.b3834419,nobel,UK
"faulkner, william","faulkner, william",100,novels 19,novels 1942-1954 william faulkner.,#matchall,#matchall,8,11,1962.0,1949,uc1.32106011053425,nobel,US
"galsworthy, john","galsworthy, john",100,three nov,three novels of love.,#matchall,#matchall,19,22,1931.0,1932,mdp.39015010258302,nobel,UK
"galsworthy, john","galsworthy, john",100,first and,"the first and the last, and other stories. caravan iii.",#matchall,#matchall,19,22,1928.0,1932,uc1.b3834407,nobel,UK
"galsworthy, john","galsworthy, john",100,a storic ,a storic and other stories. caravan i.,#matchall,#matchall,30,33,1928.0,1932,uc1.b3834430,nobel,UK
"gide, andré","gide, andré",100,school fo,"the school for wives, by andré gide, translated from the french by dorothy bussy.",#matchall,#matchall,30,33,1929.0,1947,uc1.$b318415,nobel,France
"galsworthy, john","galsworthy, john",100,three nov,three novels of love,#matchall,#matchall,19,22,1919.0,1932,uc1.b3834519,nobel,UK
"galsworthy, john","galsworthy, john",100,on forsyt,"on forsyte 'change, by john galsworthy.",#matchall,#matchall,8,11,1930.0,1932,mdp.39015003681882,nobel,UK
"galsworthy, john","galsworthy, john",100,soames an,soames and the flag by john galsworthy.,#matchall,#matchall,19,22,1930.0,1932,inu.32000004611051,nobel,UK
"gide, andré","gide, andré",100,immoralis,the immoralist tr. from the french by dorothy bussey.,#matchall,#matchall,30,33,1930.0,1947,mdp.39015003625624,nobel,France
"galsworthy, john","galsworthy, john",100,maid in w,"maid in waiting, by john galsworthy.",#matchall,#matchall,19,22,1931.0,1932,mdp.39015003681304,nobel,UK
"gide, andré","gide, andré",100,two symph,"two symphonies, translated from the french of andré gide by dorothy bussy.",#matchall,#matchall,19,22,1931.0,1947,uc1.$b318416,nobel,France
"galsworthy, john","galsworthy, john",100,two forsy,"two forsyte interludesa silent wooing, passers by,",#matchall,#matchall,8,11,1928.0,1932,uc1.32106001984563,nobel,UK
"galsworthy, john","galsworthy, john",100,flowering,"flowering wilderness, by john galsworthy.",#matchall,#matchall,8,11,1932.0,1932,mdp.39015003681486,nobel,UK
"galsworthy, john","galsworthy, john",100,worshipfu,worshipful society.,#matchall,#matchall,8,11,1932.0,1932,uc1.$b320050,nobel,UK
"galsworthy, john","galsworthy, john",100,three nov,"three novels of lovethe dark flower, beyond, saint's progress.",#matchall,#matchall,19,22,1933.0,1932,mdp.39015003679761,nobel,UK
"galsworthy, john","galsworthy, john",100,one more ,"one more river, by john galsworthy.",#matchall,#matchall,8,11,1933.0,1932,uc1.b3834423,nobel,UK
"galsworthy, john","galsworthy, john",100,over the ,"over the river, by john galsworthy.",#matchall,#matchall,19,22,1933.0,1932,uc1.$b236260,nobel,UK
"galsworthy, john","galsworthy, john",100,end of th,"end of the chapter, by john galsworthy.",#matchall,#matchall,19,22,1933.0,1932,mdp.39015003681585,nobel,UK
"galsworthy, john","galsworthy, john",100,"forsytes,","forsytes, pendyces and others, by john galsworthy; with a foreword by ada galsworthy.",#matchall,#matchall,8,11,1933.0,1932,mdp.39015003681494,nobel,UK
"gide, andré","gide, andré",100,lafadio's,lafadio's adventures [les caves du vatican] translated from the french of andré gide by dorothy bussy.,#matchall,#matchall,19,22,1943.0,1947,mdp.39015010823568,nobel,France
"galsworthy, john","galsworthy, john",100,satires a,satires and a commentary.,#matchall,#matchall,30,33,1928.0,1932,pst.000006746995,nobel,UK
"galsworthy, john","galsworthy, john",100,swan song,"swan song, by john galsworthy.",#matchall,#matchall,8,11,1928.0,1932,uc1.b4098089,nobel,UK
"galsworthy, john","galsworthy, john",100,five tale,"five tales, by john galsworthy...",#matchall,#matchall,30,33,1918.0,1932,nyp.33433074855325,nobel,UK
"galsworthy, john","galsworthy, john",100,forsyte s,"the forsyte saga, by john galsworthy.",#matchall,#matchall,8,11,1922.0,1932,uva.x030581232,nobel,UK
"galsworthy, john","galsworthy, john",100,five tale,five tales by john galsworthy.,#matchall,#matchall,30,33,1919.0,1932,mdp.39015003679951,nobel,UK
"galsworthy, john","galsworthy, john",100,saint's p,saint's progress,#matchall,#matchall,19,22,1919.0,1932,uc2.ark+=13960=t71v5hr9z,nobel,UK
"gide, andré","gide, andré",100,prometheu,"prometheus illbound, by andré gide.  literal translation from the french by lilian rothermere.",#matchall,#matchall,30,33,1919.0,1947,njp.32101072859349,nobel,France
"galsworthy, john","galsworthy, john",100,awakening,awakening,#matchall,#matchall,19,22,1920.0,1932,uc2.ark+=13960=t9g450491,nobel,UK
"galsworthy, john","galsworthy, john",100,in chance,in chancery.,#matchall,#matchall,30,33,1920.0,1932,nyp.33433074855432,nobel,UK
"galsworthy, john","galsworthy, john",100,tatterdem,tatterdemalion,#matchall,#matchall,19,22,1920.0,1932,uc2.ark+=13960=t56d5sp11,nobel,UK
"galsworthy, john","galsworthy, john",100,villa rub,villa rubein and other stories.,#matchall,#matchall,19,22,1920.0,1932,njp.32101013486293,nobel,UK
"galsworthy, john","galsworthy, john",100,"to let, b","to let, by john galsworthy.",#matchall,#matchall,19,22,1921.0,1932,nyp.33433074855234,nobel,UK
"galsworthy, john","galsworthy, john",100,internati,"international thought, by john galsworthy.",#matchall,#matchall,19,22,1923.0,1932,uc1.b3266981,nobel,UK
"galsworthy, john","galsworthy, john",100,inn of tr,the inn of tranquillity and other impressions. verses new and old.,#matchall,#matchall,8,11,1927.0,1932,mdp.39015003681452,nobel,UK
"galsworthy, john","galsworthy, john",100,"captures,","captures,",#matchall,#matchall,19,22,1923.0,1932,uc1.b3834398,nobel,UK
"galsworthy, john","galsworthy, john",100,white mon,"the white monkey, by john galsworthy.",#matchall,#matchall,8,11,1924.0,1932,uc1.$b87340,nobel,UK
"gide, andré","gide, andré",100,strait is,"strait is the gate (la porte étroite) translated from the french of andré gide, by dorothy bussy.",#matchall,#matchall,19,22,1924.0,1947,uc1.$b318413,nobel,France
"galsworthy, john","galsworthy, john",100,"caravan, ","caravan, the assembled tales of john galsworthy.",#matchall,#matchall,19,22,1925.0,1932,mdp.39015003679712,nobel,UK
"gide, andré","gide, andré",100,vatican s,the vatican swindle (les caves du vatican) translated from the french of andré gide by dorothy bussy.,#matchall,#matchall,41,44,1925.0,1947,mdp.39015005108645,nobel,France
"galsworthy, john","galsworthy, john",100,apple-tre,the apple-tree and other stories. caravan ii.,#matchall,#matchall,19,22,1925.0,1932,uc1.b3834396,nobel,UK
"galsworthy, john","galsworthy, john",100,"novels, t","the novels, tales and plays of john galsworthy.",#matchall,#matchall,8,11,1926.0,1932,uc1.b3553038,nobel,UK
"galsworthy, john","galsworthy, john",100,silver sp,"the silver spoon, by john galsworthy.",#matchall,#matchall,8,11,1926.0,1932,mdp.39015003681775,nobel,UK
"faulkner, william","faulkner, william",100,"novels, 1","novels, 1957-1962 william faulkner.",#matchall,#matchall,8,11,1962.0,1949,mdp.49015002490366,nobel,US
"faulkner, william","faulkner, william",100,light in ,light in august the corrected text william faulkner.,#matchall,#matchall,8,11,1932.0,1949,mdp.39076002504426,nobel,US
"sinclair, upton","sinclair, upton",100,springtime and,"springtime and harvest; a romance, by upton sinclair.",dragon's teeth,dragon's teeth,29,29,1901.0,1943,njp.32101067176428,pulitzer,US
"ferber, edna","ferber, edna",100,come a,come and get it.,so big,so big,27,33,1936.0,1925,mdp.39015002725615,pulitzer,US
"faulkner, william","faulkner, william",100,sanctuary,sanctuary [by] william faulkner.,#matchall,#matchall,30,33,1931.0,1949,inu.30000048939361,nobel,US
"faulkner, william","faulkner, william",100,these 13 ,these 13 stories /cby william faulkner.,#matchall,#matchall,19,22,1931.0,1949,mdp.39015003345140,nobel,US
"faulkner, william","faulkner, william",100,sound and,the sound and the fury [by] william faulkner ; with an introduction by richard hughes.,#matchall,#matchall,8,11,1931.0,1949,mdp.39015046349141,nobel,US
"ferber, edna","ferber, edna",100,americ,"american beauty, by edna ferber; woodcut decorations by rudolph ruzicka.",so big,so big,11,17,1931.0,1925,mdp.39015003345298,pulitzer,US
"france, anatole","france, anatole",100,romance o,the romance of the queen pédauque with illustrations by alexander king.,#matchall,#matchall,30,33,1924.0,1921,uc1.b4947831,nobel,France
"ferber, edna","ferber, edna",100,they b,they brought their women a book of short stories edna ferber.,so big,so big,27,33,1933.0,1925,uc1.$b104361,pulitzer,US
"faulkner, william","faulkner, william",100,pylon a n,pylon a novel by william faulkner.,#matchall,#matchall,8,11,1935.0,1949,mdp.39015000646805,nobel,US
"faulkner, william","faulkner, william",100,"absalom, ","absalom, absalom! [by] william faulkner.",#matchall,#matchall,30,33,1936.0,1949,mdp.39015040129580,nobel,US
"ferber, edna","ferber, edna",100,mother,mother knows best.,so big,so big,11,17,1936.0,1925,mdp.39015002725458,pulitzer,US
"faulkner, william","faulkner, william",100,sartoris ,sartoris [by] william faulkner.,#matchall,#matchall,19,22,1929.0,1949,mdp.39015003344796,nobel,US
"faulkner, william","faulkner, william",100,mosquitoe,mosquitoes by william faulkner.,#matchall,#matchall,19,22,1937.0,1949,mdp.39015003343830,nobel,US
"ferber, edna","ferber, edna",100,nobody,nobody's in town.,so big,so big,27,33,1938.0,1925,mdp.39015002725466,pulitzer,US
"faulkner, william","faulkner, william",100,unvanquis,the unvanquished drawings by edward shenton.,#matchall,#matchall,8,11,1938.0,1949,mdp.39015011048025,nobel,US
"faulkner, william","faulkner, william",100,wild palm,"the wild palms, by william faulkner.",#matchall,#matchall,19,22,1939.0,1949,mdp.39015003345124,nobel,US
"faulkner, william","faulkner, william",100,hamlet wi,the hamlet william faulkner,#matchall,#matchall,30,33,1940.0,1949,uc1.32106013928996,nobel,US
"flavin, martin","flavin, martin",100,"mr. littlejohn,","mr. littlejohn,",journey in the ,journey in the dark,33,33,1940.0,1944,uc1.b3687796,pulitzer,US
"ferber, edna","ferber, edna",100,sarato,saratoga trunk.,so big,so big,27,33,1941.0,1925,uc1.b4097393,pulitzer,US
"flavin, martin","flavin, martin",100,"corporal cat, the s","corporal cat, the story of a german parachute soldier, by martin flavin",journey in the dark,journey in the dark,42,42,1941.0,1944,uc1.$b104462,pulitzer,US
"ferber, edna","ferber, edna",100,cimarr,cimarron [by] edna ferber.,so big,so big,11,17,1930.0,1925,pst.000029585229,pulitzer,US
"ferber, edna","ferber, edna",100,mother,"mother knows best; a fiction book, by edna ferber.",so big,so big,11,17,1928.0,1925,mdp.39015002725441,pulitzer,US
"ferber, edna","ferber, edna",100,great ,"great son, by edna ferber.",so big,so big,11,17,1945.0,1925,mdp.39015002725680,pulitzer,US
"france, anatole","france, anatole",100,crainqueb,crainquebille,#matchall,#matchall,19,22,1922.0,1921,uc2.ark+=13960=t26972q3n,nobel,France
"ferber, edna","ferber, edna",100,half p,"half portions, by edna ferber.",so big,so big,11,17,1920.0,1925,uc1.b3687767,pulitzer,US
"france, anatole","france, anatole",100,little pi,"little pierre, by anatole france; a translation by j. lewis may.",#matchall,#matchall,19,22,1920.0,1921,mdp.39015037368027,nobel,France
"france, anatole","france, anatole",100,count mor,"count morin, deputy,",#matchall,#matchall,8,11,1921.0,1921,mdp.39015030372299,nobel,France
"france, anatole","france, anatole",100,monsieur ,"monsieur bergeret in paris, by anatole france; a translation by b. drillien.",#matchall,#matchall,8,11,1921.0,1921,mdp.39015030368404,nobel,France
"france, anatole","france, anatole",100,a mummer',a mummer's tale,#matchall,#matchall,8,11,1921.0,1921,uiuo.ark+=13960=t6542nd49,nobel,France
"ferber, edna","ferber, edna",100,girls ,the girls by edna ferber.,so big,so big,27,33,1921.0,1925,uc1.b4097383,pulitzer,US
"france, anatole","france, anatole",100,marguerit,marguerite,#matchall,#matchall,30,33,1921.0,1921,uc2.ark+=13960=t3125sq2d,nobel,France
"france, anatole","france, anatole",100,at the si,at the sign of the reine p??dauque,#matchall,#matchall,30,33,1922.0,1921,uiuo.ark+=13960=t1mg7jq62,nobel,France
"ferber, edna","ferber, edna",100,gigolo,"gigolo, by edna ferber.",so big,so big,27,33,1922.0,1925,nyp.33433074807904,pulitzer,US
"france, anatole","france, anatole",100,golden ta,golden tales of anatole france.,#matchall,#matchall,19,22,1924.0,1921,uc1.b3755182,nobel,France
"france, anatole","france, anatole",100,bloom of ,the bloom of life by anatole france ; translated by j. lewis may.,#matchall,#matchall,8,11,1923.0,1921,uc1.$b598496,nobel,France
"ferber, edna","ferber, edna",100,so big,so big.,so big,so big,94,100,1924.0,1925,uc1.b4097394,pulitzer,US
"france, anatole","france, anatole",100,wicker wo,"the wicker work woman; a chronicle of our own times, by anatole france. a translation by m. p. willcocks.",#matchall,#matchall,8,11,1924.0,1921,mdp.39015009172829,nobel,France
"france, anatole","france, anatole",100,on life a,on life and letters second series $fa translation by a.w. evans.,#matchall,#matchall,8,11,1924.0,1921,mdp.39015030368602,nobel,France
"ferber, edna","ferber, edna",100,so-big,so-big a novel by edna ferber.,so big,so big,77,83,1924.0,1925,pst.000029585403,pulitzer,US
"france, anatole","france, anatole",100,little se,"little sea dogs, and other tales of childhood, by anatole france, translated by alfred allinson & j. lewis may; illustrated in colour and black and white by marcia lane foster.",#matchall,#matchall,19,22,1924.0,1921,uc1.b4525413,nobel,France
"faulkner, william","faulkner, william",100,soldiers',"soldiers' pay, by william faulkner.",#matchall,#matchall,8,11,1926.0,1949,mdp.39015047724508,nobel,US
"ferber, edna","ferber, edna",100,show b,"show boat, by edna ferber.",so big,so big,61,67,1926.0,1925,mdp.39015054194546,pulitzer,US
"flavin, martin","flavin, martin",100,journey in the dark,"journey in the dark, by martin flavin.",journey in the dark,journey in the dark,100,100,1943.0,1944,uc1.$b104464,pulitzer,US
"faulkner, william","faulkner, william",100,portable ,"the portable faulkner, edited by malcolm cowley.",#matchall,#matchall,30,33,1946.0,1949,uc1.32106002105242,nobel,US
"faulkner, william","faulkner, william",100,"""unpublis","""unpublished"" stories, typescripts, and manuscripts introduced and arranged by thomas l. mchaney.",#matchall,#matchall,8,11,1962.0,1949,mdp.39015066186167,nobel,US
"faulkner, william","faulkner, william",100,flags in ,flags in the dust william faulkner ; edited and with an introd. by douglas day.,#matchall,#matchall,8,11,1962.0,1949,mdp.39015003344622,nobel,US
"faulkner, william","faulkner, william",100,faulkner ,the faulkner reader.,#matchall,#matchall,19,22,1958.0,1949,pst.000000033510,nobel,US
"faulkner, william","faulkner, william",100,mansion.,the mansion.,#matchal,#matchall,21,25,1959.0,1949,mdp.39015003343871,nobel,US
"faulkner, william","faulkner, william",100,selected ,selected short stories of william faulkner,#matchall,#matchall,8,11,1961.0,1949,uc1.32106014653163,nobel,US
"faulkner, william","faulkner, william",100,three sho,three short novels.,#matchall,#matchall,19,22,1961.0,1949,uc1.32106009699841,nobel,US
"faulkner, william","faulkner, william",100,reivers a,the reivers a reminiscence william faulkner ; illustrated by dick brown.,#matchall,#matchall,8,11,1962.0,1949,inu.30000123932521,nobel,US
"faulkner, william","faulkner, william",100,as i lay ,as i lay dying.,#matchall,#matchall,19,22,1962.0,1949,uc1.32106002105341,nobel,US
"faulkner, william","faulkner, william",100,three fam,three famous short novels.,#matchall,#matchall,30,33,1962.0,1949,pst.000001642902,nobel,US
"faulkner, william","faulkner, william",100,mosquitoe,mosquitoes a novel by william faulkner ; with an introduction by richard hughes.,#matchall,#matchall,19,22,1962.0,1949,mdp.39015003343814,nobel,US
"faulkner, william","faulkner, william",100,jealousy ,jealousy and episode two stories by william faulkner.,#matchall,#matchall,19,22,1962.0,1949,pst.000060022042,nobel,US
"ferber, edna","ferber, edna",100,ice pa,ice palace by edna ferber.,so big,so big,11,17,1958.0,1925,mdp.39015002725706,pulitzer,US
"france, anatole","france, anatole",100,gods will,the gods will have blood (les dieux ont soif) anatole france ; translated with an introd. by frederick davies.,#matchall,#matchall,19,22,1924.0,1921,uc1.32106009365716,nobel,France
