bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
HORLER, SYDNEY.	Danger's bright eyes.	458	2.0	278p Harper [7s 6d Hodder]	Bookm 75:xiv My	'32 80w	Mystery story	2.5	2.83564554431	0	2	3	horler + s + danger's bright eyes	2.0998242974115717
HORLER, SYDNEY.	Danger's bright eyes.	458	2.0	278p Harper [7s 6d Hodder]	N Y Evening Post	p7 My 7 '32 20w	a An and and band International McManls murderers of of Rumana Scotland story thieves thrilling unusually Yard	2.5	2.83564554431	0	2	3	horler + s + danger's bright eyes	2.0998242974115717
HORLER, SYDNEY.	Danger's bright eyes.	458	2.0	278p Harper [7s 6d Hodder]	NY Times plO Jl	3 '32 160w	action Anderson but cheaper found gives in Is Isaac it most motion of of of of pictures plenty sort The the the type us writer	2.5	2.83564554431	0	2	3	horler + s + danger's bright eyes	2.0998242974115717
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Minister who kicked the cat.	1933	7.0	303p 6d) Appleton	summary	summary	A are at cat; Contents: cornea day Hector hedge; hen In kicked light-hearted lilac love; minister of of old one organ; posing Presup- reason Seated setting short stories The the the the the The through tired to vein volume was; What white who wife; Writing you your your	4.0	3.6302024746900003	1	1	4	abbott + bh + minister who kicked the cat	1.6343460048819127
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Minister who kicked the cat.	1933	7.0	303p 6d) Appleton	Books plO My	8 '32 120w	Abbott accustomed Eleanor fabrications Hallowell in manner sentimental Sprightly the	4.0	3.6302024746900003	1	1	4	abbott + bh + minister who kicked the cat	1.6343460048819127
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Minister who kicked the cat.	1933	7.0	303p 6d) Appleton	Boston Transcript	p2 My 4 '32 200w	Amusing and clever stories unusual	4.0	3.6302024746900003	1	1	4	abbott + bh + minister who kicked the cat	1.6343460048819127
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Minister who kicked the cat.	1933	7.0	303p 6d) Appleton	Times [London] Lit Sup	p429 Je 9 '32 80w		4.0	3.6302024746900003	1	1	4	abbott + bh + minister who kicked the cat	1.6343460048819127
TELLIER, ANDRE.	Witchflre.	934	2.5	323p	Books pll Ja	17 '32 lOOw	A after an around Austria current death during Emperor Emperor first for Franz impostor in Josef months novel of of real resembling ruled rumor several that the the the the the the Vienna war written year	4.0	3.67129108861	2	1	3	tellier + a + witchflre	1.765366980475027
TELLIER, ANDRE.	Witchflre.	934	2.5	323p	Boston Transcript	p4 D 2 '31 350w		4.0	3.67129108861	2	1	3	tellier + a + witchflre	1.765366980475027
TELLIER, ANDRE.	Witchflre.	934	2.5	323p	N Y Time*	p!9 D 27 '31 420w	a actions adventures and and and book built but carefully carrying centred chaos characters chief country description following given has has his in in incidentally interest is love make minor Mr of of of on out outbreak plan plausible poverty run seem Serevitch stories Tegen the the the the the the the their their through to TrlliIT Two up vivid von war	4.0	3.67129108861	2	1	3	tellier + a + witchflre	1.765366980475027
