bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
COHEN, OCTAVUS ROY.	Scarlet woman.	189	7.0	300p Gd) Appleton-Century	Booklist	30:280 My '34	a a a and and and at back back bank be bigamist Bill Bill by came campaign clous come- Eddie Eddie's eloping gentle Grainger handsome help her in increased job Judith Judith Judith Judith Karnak Karnak little Mali- married Morgan New of of old out re-won respect set sleepy southern staged studious the the the the the to to to tongues town town turned upset Vernon vigorous wagging were when whispering with With Yorker	4.0	3.7346647646199997	0	2	5	cohen + or + scarlet woman	1.8940860212700599
COHEN, OCTAVUS ROY.	Scarlet woman.	189	7.0	300p Gd) Appleton-Century	Books	p8 F 11 '34 120w	A about and and banking Bell diverting dramatic Lisle love story	4.0	3.7346647646199997	0	2	5	cohen + or + scarlet woman	1.8940860212700599
COHEN, OCTAVUS ROY.	Scarlet woman.	189	7.0	300p Gd) Appleton-Century	N Y Times	p!5 F 18 '34 630w	a about acterizations and and can care char- Cohen craftsman—one exigent know less little moreover most Mr of plot-structure risibilities satisfy suspense tale technique the the those tickle to weave which who will with	4.0	3.7346647646199997	0	2	5	cohen + or + scarlet woman	1.8940860212700599
COHEN, OCTAVUS ROY.	Scarlet woman.	189	7.0	300p Gd) Appleton-Century	Sat R	157:611 My 26 '34 SOw		4.0	3.7346647646199997	0	2	5	cohen + or + scarlet woman	1.8940860212700599
COHEN, OCTAVUS ROY.	Scarlet woman.	189	7.0	300p Gd) Appleton-Century	Times [London] Lit Sup	p284 Ap 19 '34	A for like story sugar sweet their those who	4.0	3.7346647646199997	0	2	5	cohen + or + scarlet woman	1.8940860212700599
GRANT, GEORGE HOOK.	Consigned to Davy Jones; with 11.	377	2.0	Little	Booklist	31:68 O '34	(Book 1933) a a a account at author's based begun book book boy's British continues deck Deck Digest earlier ends experience first half Half in in is It like My of of on one own Review sea semi-flctionized steamer story subtitled: the the the the third This This tramp voyage was which with years	4.0	3.66833095578	1	2	8	Hathi: grant george hook + consigned to davy jones : my third voyage in the half deck of a british tramp steamer	1.1278787878787881
GRANT, GEORGE HOOK.	Consigned to Davy Jones; with 11.	377	2.0	Little	Books	p2 Ag 12 '34 900w	  'Consigned a a a a above all and and balanced be; by chap Colcord Davy deck deserve entertainment especial fair from good Gordon Grant half honestly illustrations in in incidents Is is it it Jones' life likely Lincoln mention nautical occur of of of of of piece record sincere standpoint steamer the the the The to to to tramp tries veracity well which writing young	4.0	3.66833095578	1	2	8	Hathi: grant george hook + consigned to davy jones : my third voyage in the half deck of a british tramp steamer	1.1278787878787881
GRANT, GEORGE HOOK.	Consigned to Davy Jones; with 11.	377	2.0	Little	Boston Transcript	p2 S 5 '34 220w		4.0	3.66833095578	1	2	8	Hathi: grant george hook + consigned to davy jones : my third voyage in the half deck of a british tramp steamer	1.1278787878787881
GRANT, GEORGE HOOK.	Consigned to Davy Jones; with 11.	377	2.0	Little	Cleveland Open Shelf	p!9 S '34		4.0	3.66833095578	1	2	8	Hathi: grant george hook + consigned to davy jones : my third voyage in the half deck of a british tramp steamer	1.1278787878787881
GRANT, GEORGE HOOK.	Consigned to Davy Jones; with 11.	377	2.0	Little	Horn Bk M	10:302 S '34 20w		4.0	3.66833095578	1	2	8	Hathi: grant george hook + consigned to davy jones : my third voyage in the half deck of a british tramp steamer	1.1278787878787881
