bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
JACKS, LAWRENCE PEARSALL.	Philoso- phers In trouble.	291	0.0	»*1.25 <3c) Holt	summary	summary	A A Bracketed English Hibbert Journal Monthly Some The The The The The Vot among and appeared are are: article; atlantic cedar che.st convincing crises do facts first fit have in in in in in last magazines man's meet not of of of or other other parliament philosophers pig poor psychologist published rejected saints six speculative stories tales the the the them theories these thinkers tragedy trouble was which who year	330	3.73558758315	0	2	5	jacks + lp + philosophers in trouble	2.0998242974115717
JACKS, LAWRENCE PEARSALL.	Philoso- phers In trouble.	291	0.0	»*1.25 <3c) Holt	-| Dial	61:591 D 28 '16 230w	   Jacks' Mr One The They a addicted admirable already and are as at be be be book book but care ephemera for gathering hardly in interested into large literature must need not not periodical public stories the these to to will work worth	330	3.73558758315	0	2	5	jacks + lp + philosophers in trouble	2.0998242974115717
JACKS, LAWRENCE PEARSALL.	Philoso- phers In trouble.	291	0.0	»*1.25 <3c) Holt	N Y Br Lib News	3:184 D '16		330	3.73558758315	0	2	5	jacks + lp + philosophers in trouble	2.0998242974115717
JACKS, LAWRENCE PEARSALL.	Philoso- phers In trouble.	291	0.0	»*1.25 <3c) Holt	N Y Times	21:409 O 8 '16 lOOOw	'Philosophy Not Owen Wister a amusing and by four had have impracticably keen moral of on satire science since such the we	330	3.73558758315	0	2	5	jacks + lp + philosophers in trouble	2.0998242974115717
JACKS, LAWRENCE PEARSALL.	Philoso- phers In trouble.	291	0.0	»*1.25 <3c) Holt	Springfield Republican	pl3 O 1 '16 70w	'The 'The And The alone cedar' chest in in intellectual make man's of of of pastor pig.' poor reading satire satire self-seeking shallowness so the the the volume worth would would	330	3.73558758315	0	2	5	jacks + lp + philosophers in trouble	2.0998242974115717
MAUPASSANT, HENRI REN6 ALBERT GUY DE.	Yvette; tr.	379	0.0	from the French by Mrs. John Galsworthy. *»1.3B (2%c> Knopf (*2s 6d Duckworth, London) 16-6394	summary	summary	100 Austerity Conrad French He He Joseph Maupassant The What Yvette a aesthetic an an and and and and appealing are as but by clearness collection conceptions courage following from his his his his his honesty in in in in intensely introduction is is is is logic make mediocrity moral national newly not novelette obvious of of of of of outstanding over pages popular pronounced qualities renowned shorter something stories stories success summed tales ten tenderness the the the the this to translated universal universally universally up up wanting wholly work works writer	1690	3.70620842572	1	1	3	maupassant + hragd + yvette	1.6676500256741729
MAUPASSANT, HENRI REN6 ALBERT GUY DE.	Yvette; tr.	379	0.0	from the French by Mrs. John Galsworthy. *»1.3B (2%c> Knopf (*2s 6d Duckworth, London) 16-6394	N Y Times	20:530 D 26 '15 180w	A A At Conrad Fifl; Galsworthy's Harriet; Hiss Hortense; Joseph Mademoiselle Maupassant's Mrs Old Queen Savage; The The Two Yvette added admiring alone and and are: art but by de delightful discriminating discusses duel; eleven for friends; in in is is mother nine-page of of of phrase piece preface qualities republication sale sea; spirit stories string; sufficient terse the the the their this this to translation umbrella; volume warrant which	1690	3.70620842572	1	1	3	maupassant + hragd + yvette	1.6676500256741729
MAUPASSANT, HENRI REN6 ALBERT GUY DE.	Yvette; tr.	379	0.0	from the French by Mrs. John Galsworthy. *»1.3B (2%c> Knopf (*2s 6d Duckworth, London) 16-6394	Sat R	120:85 Jl 24 '15 1500w	Reviewed S Sparrow W: by	1690	3.70620842572	1	1	3	maupassant + hragd + yvette	1.6676500256741729
TOWNSEND, FRANK SUMNER.	Hugh Gra- ham; a tale of the pioneers, il	548	1.35	Ah-	summary	summary	      1000 549 A Figures He In In Indian Indicate Irish Pennsylvania Springfield The The a a after an and and and and author between border but captive closely cost daring days describing doomed effect ever exploits fatal followed following for forest frontier fug- gentleman gets girl happy has he hero history ingdon injustice is is learns life lives many men of of of parenthesis per performs pre-revolutionary press price red republican resisting son stirring tale the the the the the the tive to torture wants warfare western white with words —	240	3.9118625277199994	2	4	5	townsend + fs + hugh graham	1.83006993091745
TOWNSEND, FRANK SUMNER.	Hugh Gra- ham; a tale of the pioneers, il	548	1.35	Ah-	Nation	103:157 Ag 17 '16 190w	Alleghany H It account an and as before central days derogation district fiction from gives historical in in interest interest is its its just life merit no novel of of picturesque pioneer readable revolution say surpasses that the the the the this to unusually	240	3.9118625277199994	2	4	5	townsend + fs + hugh graham	1.83006993091745
TOWNSEND, FRANK SUMNER.	Hugh Gra- ham; a tale of the pioneers, il	548	1.35	Ah-	Pittsburgh	21:483 N '16 20w		240	3.9118625277199994	2	4	5	townsend + fs + hugh graham	1.83006993091745
TOWNSEND, FRANK SUMNER.	Hugh Gra- ham; a tale of the pioneers, il	548	1.35	Ah-	R of R«	53:636 My '16 liOw		240	3.9118625277199994	2	4	5	townsend + fs + hugh graham	1.83006993091745
TOWNSEND, FRANK SUMNER.	Hugh Gra- ham; a tale of the pioneers, il	548	1.35	Ah-	Springfield Republican	p!5 Jl 9 '1C iSOw		240	3.9118625277199994	2	4	5	townsend + fs + hugh graham	1.83006993091745
REYNOLDS, GERTRUDE Ml. (ROBINS) (MRS. LOUIS BAILLIE REYNOLDS).	Daughter pays.	464	1.25	(Ic) Doran 17-1012	summary	summary	But Gaunt Osbert She The Twenty Virginia a a a a after an and and and and and and and appearance attitude been begins being bitter by by changing changing character confirmed copy current deep drawn earlier ends exact exact finds for for frivolous from girl had had has has has hater he he he he he heartlessness her her her her her her him him his his his his in in is is is jilted life like made make making man marriage meaning meets mercenary minded misogynist mistake mother mother mother mother's not of of of of of only opportunity outlook outwardly payment power realizing recognizes reparation reserves revenge sees shallow- the the the the this thought to to tragic trying ttiat wcman when who whole whom within woman years young	980	2.85310421286	3	2	3	reynolds + gm + daughter pays	1.6001761214178096
REYNOLDS, GERTRUDE Ml. (ROBINS) (MRS. LOUIS BAILLIE REYNOLDS).	Daughter pays.	464	1.25	(Ic) Doran 17-1012	N Y Times	21:393 O 1 '16 700w	Idea There a back book fine is of the	980	2.85310421286	3	2	3	reynolds + gm + daughter pays	1.6001761214178096
REYNOLDS, GERTRUDE Ml. (ROBINS) (MRS. LOUIS BAILLIE REYNOLDS).	Daughter pays.	464	1.25	(Ic) Doran 17-1012	Springfield Republican	p!3 O 29 '16 270w	Baillie Is Mrs Reynolds The adept an and book but characters described emotions excruciating find fond in in is liking much of of portraying readers sentimental tale tale the the their this to type very will	980	2.85310421286	3	2	3	reynolds + gm + daughter pays	1.6001761214178096
HARRIS, GARRARD.	Trail of the pearl.	248	1.0	II	-i A L A Bkl	13:227 K '17	1000 249 A Allen Allen Buck Buckner Figures Fortune He Illicit In In In Indefinitely Indicate Joe News Sol Tobe a a ambitions an an and and author away big book book bound boy boy boys by cost deserved desire distiller driven education farmer fate favors finds finds following for for for friends from from great has has he he he heroic him his his his his his his home home-spun however in inside kind leaks learning make many means meets mountains mussel new of of of of of of of of on on out out parenthesis pathetic pearl pearl's per price pursuit realizing river runs sacrifices securely sees sets settlements sewed shell shirt son southern start story that that that the the the the the the the the the the the the the to to toward treasure uncle uncle uncle's value way while whiskey with with words	360	3.04745011086	4	1	5	harris + g + trail of the pearl	2.047298812277271
