bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	summary	summary	"'The All As Dialogues,' Dolly Fair Herbert's Innocent Lit Moon Moon Mr Phyllis Robin Robin Sup The Times We [London] a a a a a a accompany agree allow and and and and and are banter be both by by charming conditions conducts contrary.""—The convention couple diverting elegant exclusively faintly flirta- for freedom frivolity he he hindered his husband idle in in is is live makes married matched may month observe of of of of of people philander populated pretended privileged rich sentimental separate series story suggesting temporary that the the the the them this tions to to to to to under use well what whatever which who whom wit with world world young"	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	Int Bk R pool Jl	'25 450\v	Katzin The Winifred and entertaining events hilarious make reading sometimes	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	Lit R	p6 Je 27 '25 160w	But It Lnof Madelin a all allotted an arise book events flashlight genius hours humor in inclusive is is it man's no of of of on one or ordinary profound that the turns twenty-four which wit work	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	New Statesman	24:776 Ap 11 '25 17Uw	Franklin J: Reviewed by	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	N Y Times	p22 Mr 22 '25 400w	A amusing and tale whimsical	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	N Y Tribune plO Mr	22 '25 400w	Indulge Stories an are but fairy for goes hour make-believe neither nor of of sheer tales—one them this to to true type wisdom wit	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	N Y World	p6m Ap 5 '25 150w	'The After Flame' Mr Old a a admit american and and are bound but compositions distinctly diversion does funnier gen- glow herbert his hiss humorists is is is its louder not number of one reading sputter that the though to	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	Sat R of Lit	1:7-10 My 9 '25 400w	(the A D: English Herbert Herbert Is McCord Mr When a a a a a a and and and arc artless but compromise departure diverting fancy flawless for from from grounds his holiday humor idle improving in irrevocably life) like married neither new no nor novel of on possible product pure rare serene short snatched so story stricture style the the theme there this very very very which with writes	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
HERBERT, ALAN PATRICK.	Old flame.	313	1.76	222p Doubleday [3s 6d Methuen]	The Times [London] Lit Sup	p!70 Mr 12 '25 300w	If Is Is Like an and and charms equally floating for his hour invention is it light mind of of out sight so style substance the the then thistledown us vanished	1840	3.68247194563	0	6	9	herbert + ap + old flame	1.765366980475027
BECK, MRS L. ADAMS (E. BARRINGTON, pseud.).	Way of stars.	46	2.0	408p Dodd	summary	summary	At Egyptian Egyptian He In India Involved Jewels Khar Miles Seton Seton Seton The The The Their What a a a a a a a a adventures alone amazing an ancient and and and are are beautiful beautiful becomes been black breaking bring curious curious dais death desert discovery englishmen escapes excavating face face fallen figure finds finger foot for for fortune from from from granite had had hand he heart hia hour in in influence is is is is it life-like malignant marvellous miraculously most of of of of of of of of on on open opening passage pledge? powers probably queen queen queen queen reincarnation ring ring scene seated slips story that the the the the the the the the the the the the theme they this this throne to to to token tomb tomb two two was where which which which whose with worth years young —a	1400	2.6802140486400003	1	5	7	beck + la + way of stars	1.5732267962981086
BECK, MRS L. ADAMS (E. BARRINGTON, pseud.).	Way of stars.	46	2.0	408p Dodd	Boston Transcript	p4 Je 24 '25 280w	In The a a although an and are author be bit blending but commonplace confessed credulity difficult doing faced for has has in in in in interesting is it manner most must of part places reader so so story succeeded supernatural swallowing task taxed that that the the the the the the there trouble which	1400	2.6802140486400003	1	5	7	beck + la + way of stars	1.5732267962981086
BECK, MRS L. ADAMS (E. BARRINGTON, pseud.).	Way of stars.	46	2.0	408p Dodd	Cleveland	p82 Jl '25		1400	2.6802140486400003	1	5	7	beck + la + way of stars	1.5732267962981086
BECK, MRS L. ADAMS (E. BARRINGTON, pseud.).	Way of stars.	46	2.0	408p Dodd	Int Bk R	p549 Jl '25 220w	Harriet Henry It On a and fli-st-rate for frankly free from hot imaginative is novel perusal prevalent refreshing tendency the the to ultra-modernism weather whole	1400	2.6802140486400003	1	5	7	beck + la + way of stars	1.5732267962981086
BECK, MRS L. ADAMS (E. BARRINGTON, pseud.).	Way of stars.	46	2.0	408p Dodd	NY Tlmet	p9 My 17 '26 450w	'The For In Its Jump Occi- Stars' Way a a a an at audience be be be business can dentals discomfort dizzy entertaining feared for for granted he height hurdle is it limited most must novel of of of plausibility practically reincarna- reincarnation sets should stiff story swallow takes the the then these those tion to to too us which who without writing	1400	2.6802140486400003	1	5	7	beck + la + way of stars	1.5732267962981086
BECK, MRS L. ADAMS (E. BARRINGTON, pseud.).	Way of stars.	46	2.0	408p Dodd	N Y Tribune pll My	24 '25 180w	'It 'Of He a acutely added all an at bunk but character course have it's makes might occult readable remarks stage still'—a yarn.'	1400	2.6802140486400003	1	5	7	beck + la + way of stars	1.5732267962981086
