bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
PERRY STELLA GEORGE (STERN) (MRS esoaes HOUGH PERRY).	Palmetto.	426	1.9	(1c) Stokes 20-15507	summary	summary	'are 1000 427 Associated But Cantrelle David David David David Figures Hartley Hartley He In New New One Orleans Palmetto Palmetto She So The York a a a a a account actress admirers adopts almost an and and and and and and any ardent as as as as as at awakens away become birth birth birth blood brings but can child choice cleared command conspicuous cost daughter deeper determines either engaged eventually ever family family feels finds following follows for foster from from genuinely goes good good has has heart heart her her her her her her her her her her her him his his his his in in in in in indicate instinctively is is is is is iut kindly known lad learns love love loves makes makes match mystery mystery objects occupation of of of of of of of on only only or own parenthesis parents parents per price refuge replacing responds runs she she she she she she she she she shocked show southern succeeds success than that the the the the them there they thirteen time to to to to to up up veins when where while who whom whose with with word! worth ﬁnds ﬁrst ﬁsherman	510	3.26979742173	0	1	2	perry + sg + palmetto	1.4639628876350723
PERRY STELLA GEORGE (STERN) (MRS esoaes HOUGH PERRY).	Palmetto.	426	1.9	(1c) Stokes 20-15507	N Y Times	p20 D 5 ‘20 500w	Louisiana SOlllt‘- a adjectives and are bayou defect frequently greatest growth in individual is is it of of of overgrown overlong paragraphs rank region romance svntcnccs that the this too what with “The	510	3.26979742173	0	1	2	perry + sg + palmetto	1.4639628876350723
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254	summary	summary	1320 Ben Cord Crystal Eugenia Har- He It Liberty Magazine May-July Moreton Newport a and and appeared brings brother's but common conservative daughter do does editor else ending falls father ground hastily he he her her her his in in irate is late love lover marriage multi-millionaire of of or! per's prevent radical radical right runs sister something story that that the the the the to to to to to too unite will with ﬁnds	400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254	Booklist	17:118 D '20	amusing author but by good-as others so some the “Not	400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254	Cleveland	p105 D '20 30w	and clever comedy full of paradoxical repartoe “A	400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254	N Y Evening Post	p9 N 6 '20 210w		400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254	Springf'd Republican	p521 .18. 23 '211I0w + Wis Lib Bul 16:238 D ’20 80w	Alice Duer Miller Miller's Mrs and and as as beauty being but clever come conversation does earlier expect far from from has holshevist’ is it novels of pleasing provide some that the to ‘The “One	400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254		'81.;0 Putnam 355	1000 381 ARTHUR Figure: HARRISON In Indicate MILLER cost following parenthesis per price words	400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Beauty and the bolshevist.	380	0.5	il (7c) Harper 20-18254	The Times [London] Lit Sup	p442 .11 8 '20 50w	(Preface) Character Contents: Foreword Index It L Leadership Munson; The The a a acknowledged and and and and and and are army as as book brevity by course dward factor for formulae given given human in in in in in included is its leader leader leadership leadership lectures merely methods methods military morale morale; no no:- object of of of of_oﬁlcers or or organization; peace personality reasons relation sake schooling science soldier: standardize success sychological the the the the the the the the the their to to war was without	400	3.4511970534099996	1	3	7	mllzlaer + a + beauty and the bolshevist	1.3602310103922248
ABBOTT, MRS JANE LUDLOW DRAKE).	Happy House.	1	1.6	ii (20) ippincott	Ath	p731 N 26 ’20 110w	Anne Anne B'lind But Happy House Leavitt Leavltt Meanwhile Milly Miss Miss Nancy Nancy Nancy’s Russia Sabrina So The Vermont When a a a all and and and another are at be been brings but class clear college come comes contentment deception deception des door embittered events f finally for friendship from from general gloomy guilt happiness happy has have her her her her her- hitherto how in in in invited is is is is joy just keeps lives man mansion misnomer next of of old or out ow part perfect persuades place practis- proves relatives s se sense sharin she she she situation some spend starting story su summer table take teach tels the the the the the the their them there to to to to to to to to together unexpected unknown until up very where who whom with with “hired	1420	3.58993247391	2	5	6	abbott + jl + happy house	1.6407523518570242
