bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
CHAPPELL, GEORGE SHEPARD (WALTER E. TRAPROCK, pseud.).	Sarah of the Sahara.	90	2.5	224p il Putnam	Bookm	58:481 D '23 150w	At Azad Bedouins Cannes Captain Carlo He Is Kawa Lady Monte Moplah Sahara Sarah So Terrible They Three Traprock's While Wimpole a a a a a absent after again again and and and and and and and as assassins at back bidding burlesque but by cross cruising days days desert desert desert exploring exposure few fiction finds first first for from from had have he he he he her her her her her her her him him his his his hunt idly in in is is late later left lion loses loses lost loves mate meet message northern of of of of of on over over-lord paths pharaohs rescues resting sands school second seeks sees she she sheik snatched the the the the the the the the the the their third time to to together tomb venture while	2230	3.38727569331	0	2	5	chnppell + gs + sarah of the sahara	1.5743390454409751
CHAPPELL, GEORGE SHEPARD (WALTER E. TRAPROCK, pseud.).	Sarah of the Sahara.	90	2.5	224p il Putnam	Boston Transcript	p4 O 10 '23 260w	If Kawa Sahara Sarah Seas South Traprock aboard agonies and as as broad by cruised engendered enjoy every exposure fiction for have him his humor in is it keen much northern of of of of of of or parodies satire school share suffered super-adventurous the the the the the the there these thrills through to want will will with with word you you you	2230	3.38727569331	0	2	5	chnppell + gs + sarah of the sahara	1.5743390454409751
CHAPPELL, GEORGE SHEPARD (WALTER E. TRAPROCK, pseud.).	Sarah of the Sahara.	90	2.5	224p il Putnam	Int Bk R	p5G N '23 700w	'The (over Cruise Dr I I I I Illustrations Is Kawa,' L M Now T They Traprock's a admiration aimed almost also am an and and at author author's away be because book book burlesque destroy detract enjoy enjoyable enough fall falling flat flrst for frank from from gifts going grand has hasten have have he help high him his humor illusion improve in in instead keep labored) new of of of of parallel quite result say say say sense set sincere standard that that that the the the the the the the this this to to to to to to to undoubtedly up want want we we what which which with	2230	3.38727569331	0	2	5	chnppell + gs + sarah of the sahara	1.5743390454409751
CHAPPELL, GEORGE SHEPARD (WALTER E. TRAPROCK, pseud.).	Sarah of the Sahara.	90	2.5	224p il Putnam	Lit R	p334 D 8 '23 600w	92 Lawton Mackall Reviewed by	2230	3.38727569331	0	2	5	chnppell + gs + sarah of the sahara	1.5743390454409751
CHAPPELL, GEORGE SHEPARD (WALTER E. TRAPROCK, pseud.).	Sarah of the Sahara.	90	2.5	224p il Putnam	N Y Tribune	p!8 O 14 '23 520w		2230	3.38727569331	0	2	5	chnppell + gs + sarah of the sahara	1.5743390454409751
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Silver Moon.	1	2.0	264p	summary	summary	A As Mary Moon Needless Obvloue She Silver Smith Their a a a admirers affair after and and and and are as by called centers chaperon chapters child college court days disappoint during each eldest every gathering girls guessing had have he her her hero heroine hostess house ill interest invites is is is is it keeps look love luck make many many men men of of of of of of on one one outcome paid party party pays people rather rich romantic say she six some speculations spinster such suddenly taken than the the the the the the the their there things thn tho three three thru to to to to to wherefore which who who why would young	410	3.48409461664	1	1	4	abbott + eh + silver moon	1.5866616149826167
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Silver Moon.	1	2.0	264p	-I Boston Transcript pi N	10 '23 lOOOw	'Silver Abbott's D HaHowell Kleanpr L Moon' and and and books entertaining has have in is is it it light more most of pleasant reading romantic substance than though tone very	410	3.48409461664	1	1	4	abbott + eh + silver moon	1.5866616149826167
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Silver Moon.	1	2.0	264p	Int Bk R	p!53 Ja '2+ 380w	Corby E M The and charm chief conversation fairy-tale frankness grown-up in lies of of spontaneity the the this	410	3.48409461664	1	1	4	abbott + eh + silver moon	1.5866616149826167
ABBOTT, ELEANOR HALLOWELL (MRS FORDYCE COBURN).	Silver Moon.	1	2.0	264p	• h N Y Tribune	p22 N 11 '23 GOOw	Alas Isabel It's Paterson There all are as be cloud desires excursion for from gay give impossible into is is it it keep land many moonshine obscuring of one praise qualifying should sincerely so that the the them this to to to undiscovered unnecessary which •words	410	3.48409461664	1	1	4	abbott + eh + silver moon	1.5866616149826167
WEBSTER. F. A. M.	Black shadow.	547	2.0	342p	lations of the world in a universal coup	d'61at	'The (7s 6d Hlack MofTat Nisbet] Shadow' a aims all around centres dark-skinned hajf half hypothetical movement popu- racial religious the to unite which	1070	3.57803153888	2	3	4	webster + fam + black shadow	1.8621868201079652
