bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
RIDEOUT, HENRY MILNER.	Tin Cowrie ' Dass.	375	1.25	(5%c) Duffield 18-22738	summary	summary	East India Indian The The This a a adventure an and and character does ending enter happy heir in into is is is is kingdom laid leading lost love mystery not obscure of one scene story the the to which	540	3.81554307116	0	2	3	rideout + hm + tin cowrie dass	1.6028593044690678
RIDEOUT, HENRY MILNER.	Tin Cowrie ' Dass.	375	1.25	(5%c) Duffield 18-22738	N Y Times	24:21 Ja 19 '19 480w	India While an and book contains drag easy graphic in is is many moves narrative never of pen-pictures permitted pleasant read story style swiftly the the to to told very vivid “The	540	3.81554307116	0	2	3	rideout + hm + tin cowrie dass	1.6028593044690678
RIDEOUT, HENRY MILNER.	Tin Cowrie ' Dass.	375	1.25	(5%c) Duffield 18-22738	Outlook	121:278 F 12 '19 50w	A India India Not a age and attention earlier end field first has holds in it of of on pling's reader's seizes short shown since story stronger tale tales the the the this to very which workmanship	540	3.81554307116	0	2	3	rideout + hm + tin cowrie dass	1.6028593044690678
SCOTT, LEROY.	Mary Regan.	398	18.0	2000w	Boston Transcript	p7 Ja. 30 '18 150w	(Ire) 0 18- 905 A But Durin From His Houghton It New She The There York a a a a a a a adventurous always ambition and and and and and are arises associated balance beautiful been been beginning big book breathlessly by capable certain city's class clean comes conilicting contemplated conﬂict criminal crook crooks detective detective determined different dominates dramatize each effort emotion end ever excitement family family fate fine for from from from from furnish genuine grim hanging has has her her her her her her herself high high highest holds honest idealed ii in in in in in is is is is is is kind latent life likes liness long make men money motives noticed of of of of of of of of of of of one out outwardly pedigree personality protect quality quite rushes save scene scene self she she she should shows spite spite story story story story story tensely that that the the the the the the the the theatre-goers them this to to to to victim violent well which which which who wills with with with woman woman- womanhood worldly young “1.50	670	2.81554307116	1	2	3	scott + l + mary regan	1.7977834328896962
SCOTT, LEROY.	Mary Regan.	398	18.0	2000w	N Y Call	p15 F 9 '18 220w	C If Mr Regan‘ Scott W afford believe can can has he importance instead literature nothing of of or say shilling shockers sublimaled to to to wants we whatever write ‘Mary “	670	2.81554307116	1	2	3	scott + l + mary regan	1.7977834328896962
SCOTT, LEROY.	Mary Regan.	398	18.0	2000w	N Y Times	23:38 F 3 ’18 300w	A New York adventure in of tale thrilling	670	2.81554307116	1	2	3	scott + l + mary regan	1.7977834328896962
JEPSON, EDGAR.	Ann Annington.	238	0.0	.8150 (30) Bobbs 18~6643	summary	summary	Ann Ann But Edward Edward First Hargarves Hargraves Here Journalist London She Thames Then a a about again allows and and and are author being breaking but by e- enga engaged enters escape falls fiat finished from girl has has her her her her his his interview interview interviewed into is is is is man means ment methods new not novel objects obtains of of on origina otograph out p persistent popular principle recognized rescue scruples self-appointed sets sets she she she she task that the the the the the the to to to to who whom wrong youn young ﬁnds ﬁre	240	3.2233146067400003	2	1	2	jepson + e + ann annington	1.8940860212700599
JEPSON, EDGAR.	Ann Annington.	238	0.0	.8150 (30) Bobbs 18~6643	N Y Times	23:224 My 12 '18 230w	A Edgar Jepson and belongs by deftly fiction for frothiest gay handled is is it lightest little most new novel of part story that the the this to type very whipped-cream “It	240	3.2233146067400003	2	1	2	jepson + e + ann annington	1.8940860212700599
PIER ARTHUR STANWOOD.	Son decides.	352	0.0	il ' 1.35 (3%c) Houghton 18-9494	A L A Bkl	15:74 N ‘18	(p119-20) Allies Bryce German German-American Germany Harvard Hertz Rudolf Rudolf St States The The The This Timo- United a a accepting alleged and arguments army at at begins believes book but by by by cause chieﬂy children's commission consists defending during ends european father fatherland favor for freshman from he held his his in in in is is judgment just librarians make mental of of of of of of of on outrages,” quotation reaction report room school-days slight some story story story that the the the the the the the the the the the though thread thy's to together unsuitable war would year	420	3.63108614232	3	1	3	pier + as + son decides	1.83006993091745
PIER ARTHUR STANWOOD.	Son decides.	352	0.0	il ' 1.35 (3%c) Houghton 18-9494	N Y Tlmes	23:206 My 5 '18 400w	It an aot as but didactically good interesting is narra- simply story told told ve well “A	420	3.63108614232	3	1	3	pier + as + son decides	1.83006993091745
PIER ARTHUR STANWOOD.	Son decides.	352	0.0	il ' 1.35 (3%c) Houghton 18-9494	Wls le Bul	14:255 N '18 30W		420	3.63108614232	3	1	3	pier + as + son decides	1.83006993091745
SHEPHERD, WILLIAM GUNN.	Scar that tripled; a true story of the great war.	403	0.0	(7c) Harper 18-3364	summary	summary	1n A A American American British Davis Davis Harding He He In Mr Richard Saionica Salonica a a a acquaintances almost and and and and and and army army army authorities based be be because becomes before believing boastful bravery bravery but by by by can conditions courage coward decides decorated desert deserter died dirt discouraged discovered discovered disgusted disregarded dissuaded end fully go hardship he him his his his his his home honored impossible in in is is is is its king latter leave lie life lose man's man's nothing of of omesick on over part persuade properly publicly rank reprimanded returns rewarded savin setting severely sick story story that the the the the the the the the the the the this to to to to to to under until volunteer war war was was while with wound wounded young young young “The ﬁrst	280	3.7233146067400003	4	2	4	shepherd + wg + scar that tripled	2.017971124680145
SHEPHERD, WILLIAM GUNN.	Scar that tripled; a true story of the great war.	403	0.0	(7c) Harper 18-3364	Bookm	47:304 My '18 60w	E: J O'Brien a a and better deserter,’ for have is it its life mind my of one own quiet some story than time which will ‘The “To	280	3.7233146067400003	4	2	4	shepherd + wg + scar that tripled	2.017971124680145
SHEPHERD, WILLIAM GUNN.	Scar that tripled; a true story of the great war.	403	0.0	(7c) Harper 18-3364	Cleveland	p39 Ap '18 40w		280	3.7233146067400003	4	2	4	shepherd + wg + scar that tripled	2.017971124680145
SHEPHERD, WILLIAM GUNN.	Scar that tripled; a true story of the great war.	403	0.0	(7c) Harper 18-3364	Springf'd Republican	p19 Ap 21 '18 170w		280	3.7233146067400003	4	2	4	shepherd + wg + scar that tripled	2.017971124680145
HILDRETH, J. H.	Queen's heart.	214	0.5	(2%c)	Bolton Transcript	p6 J1 10 '18 260w	After America1 At Before Excitement Fascinated It Reluctantly This Two a a a a a a a a a a a a about adventure adventurers along although an and and and and and and and and are are are are are aﬂoat battles beautiful beautiful beautiful been being bored bounds but by by can cause coast comes conventions country cruising day day death destinies dream drops each end familiar fatal for for gale girl hangs has help high holds hot hours idealed ideas impelled impossible in in in intensely interested into into is is is it keeping killed land last leaving life like little love lure man many mediaeval monotony mystery nation of of of of of of of of of of on on open opens ordinary other out over over own part party party passionate picked poetic pure queen queen quest realms relief restore return return righteous romantic row scene sea sea sense situation some spell spell story strange struggle take take that the the the the the the the the the the the the the the the the their they they they they they they thirty-six this tiny to to to two unchanging undiluted unusually up up; usual waifs when which whirl with with won yacht yachting yet ﬁerce ﬁerce ﬁnd	1040	2.33333333333	5	3	3	hildreth + jh + queen's heart	1.8940860212700599
HILDRETH, J. H.	Queen's heart.	214	0.5	(2%c)	Nation	107:205 Ag 24 '18 500w	1000 215 Figures In Indicate There a and any between cost covers doubt following if is medley of parenthesis per price reader sad satisfaction sort there these we will words ﬁnd	1040	2.33333333333	5	3	3	hildreth + jh + queen's heart	1.8940860212700599
HILDRETH, J. H.	Queen's heart.	214	0.5	(2%c)	N Y Tlmes	23:314 J1 14 '18 280w	Had Its been done fairly have heyday in it might novel of published the the type well.“	1040	2.33333333333	5	3	3	hildreth + jh + queen's heart	1.8940860212700599
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	summary	summary	 1000 167 1916 1917 5 A Figures Henry Henry In In Norah Norah's November Opinion President President's The The The The War Wilson's a a and and and and and and another aroused at between broken by by con- cost course currents declaration declaration defense denounce disagree does election end engagement explainable faint feelings following for foreign future ground has help her him his in in indicate is is is is is is is it lovers man matters meantime ministra- not of of of of of of of of of on on one only orah parenthesis per period poiic price pro-Germanism promise question ril separated shared story story story that that the the the the the the the the their their there there those time tion's to two understood vaccilating war war which who who words ﬂicting	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	Bookm	47:177 Ap '18 230w	0 0 A Boynton H Job W a always amphlet as as assume attention better democracy e even gut he in in in in in inion is knows man man man man much my name newspaper of ofﬁce on or or perhaps public quite ready story street study than that the the the the the the the the the to who worth	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	Boston Transcript	p8 Mr 6 '18 800w	 America's L a a a accurate accurate again ago alive and and and as by cannot deeper events existence fail gloriod go graphic great in is it it live marvelously mean moment must national of of of of portrayal realize recalls remains signiﬁcances so so story that the the the the them this to to to today us we we’seem what while with wonderfully year years “It	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	Cleveland	p39 Ap ‘18 60w	Interestin President's a a a and and as as before conﬁdence declaration delineating e following for has her her immediately intellectual keep lost love man man’s of of period picture strugg the the thinking to vivid war who wo-	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	New Repub	15:30 My 4 '18 100w	Frothingham's Miss Norah' Yet and animated are as as characters charm editorials; enough have history in life make more of own right romance than their they to well ‘The ﬁnding	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	N Y Call	p10 0 6 '18 380w	E The W W and book but great is not suggestive timely	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	N Y Times	28:59 F 17 '18 230w		2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	Springf'd Republican	p17 Mr 31 '18 250w	Frothlng- It Miss a and are characters conclusions convincing ham's make many must naturainess not of quite reach seem strength sufﬁcient that the they to to	2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	166	0.76	(4c) Houghton 18-4154	WI. le Bul	14:172 Je '18 50w		2110	3.59332084894	6	6	9	frethingham + eb + finding of norah	1.8631539113371176
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	summary	summary	1870 Altho America Argentina Argentinian But Conquest Death Desnoyers Famine France France France He In In Julio Madariaga Marcelo South Spanish The Unable War With a a a a a a affair again an an and and and and and and and are are at become becomes been been book but but by carrying children combatant country daughters devoted disloyalty duty employer enlists escape eventually excels expressed for for forgets former four from from germany gives had had had had has hate he he he he he her her his his his his his his his horsemen husband in in in in interlude is is is is is is is its laid left left life looks love lover married married military more ninteen no novel now of of of of old on one only out outbreak overcome prospered regret remorse returns rich scenes serve she son son stain stranded tango that the the the the the the the the there this time title to to to to to translated triﬂer turns two two up war when who who wife wife wipe with with with with woman wounded written	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	A L A Bkl15267 N	'18	Only Vl\'ld With _There a all and appeals are are are but descriptions; direction experienced given hand in is it new of of phases readers situations skilful some some taste the the the things to touched unconventional under unpleasant war written ﬁne	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	Boston Transcript	p6 S 7 '18 1300w	 'The Apo- From G I Ibanez Ibaﬁez: It WIth a a a admiration and and and another architectural because cabin,’ calypse.’ can cannot characters environment express four fuller fuse horsemen into is it know lesser mud,’ of of of of only pen psychic satisfaction that the the the unity us we we who with would writer ‘Reeds ‘The ﬁll	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	Cleveland	p102 N '18 80w	and novel powerful well-written “A	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	Dial	65:415 N 16 '18 850w	Goldberg I: Not Take a and another at away but but_the characteriza- crucial description drawbacks four from from horsemen' ill interest is is managed marvelous not novel of of one only only pages pomt protagonist serious shifts story suffers the the the the tion to trite two weak ‘The “	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	Ind	96:182 N 9 '18 350w	   Aside In and approach arrests attention because book book by different effect epic from he his his his masterly method objectively of of produces radically see style sweeping the the the the this to war war we which	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	New Repub	17:229 D 21 '18 400w	 A American Apocalypse Des.- France It M South a a and and and and another briefly broken.’ but chapters displace does early earth envxronment family fiction for for four great horsemen in in into is is it moods noyers of of of of our place put reveal seasons senses should sky spell test that the the the the the the the their this time to transplantation us us ways with ‘The	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	N Y Call	p11 N 24 '18 500w	Feigenbaum It It M The There W: a a a about almost an and another ase book certainty character chief development from high iece in inevitableness is is is is is is is it it itself landmark likely literary literary master nothing of of of of of of one one p photographic products real remain remarkable spots sweeps that the the the the this to to translation up war with with writing ‘made “The	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	49	0.9	tr. by Charlotte Brew- ster Jordan. (1%c) Dutton 18-16490	N Y Tlmes	23:361 Ag 25 '18 950w	Spanish The a a and and because bizarre both centaur,‘ character character drawing from graphic interesting is is its its masterpiece narrative new novel of of of of old portrayal portrayal presentation ranchman the the the very viewpoint virile war ‘Madariaga “The	6210	3.57443820225	7	10	12	biasco + iv + four horsemen of the apocalypse	1.8584651827665637
