bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	Booklist	22:437 Jl '26	"'Royal 'Royal 'The 457 Bk Douglas Duke Fair- Germany Helnrich Highness' Highness.' If In Incredible Int Into Klaus R When You You Zenda' a a a a a a a about address aided aire.""— ancy and and and and and and and and anticipation are are ask at bad banks begin book but by by by by called cliffs come commoners company daughter detailed duke duke edges errands excitement find fond from girls given going grand heroines honor house idea impersonate in into kingdom labor life little men men million- moats not of of of of of of of of of of of of on once plunged poverty principality prisoner pulled rali- rather record remember rescued rewarded romance salvaging shiver small swimming swords than that's the the the the the the the thrills thrust to to unremitting upon with with wouldn't wrong you you you you're young your yourself"	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	Books (N Y Herald Tribune)	p!3 Ap 26 '26 520w	Babette Deutsch The The This and argument as as bad been books court depict dullest employed ever fortune has interest is is is is it it life my novel of one style tedious the the through to to toil unconvincing •without	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	Int Bk R	p330 Ap '26 400w	Donald Douglas Reviewed by	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	Lit R	p2 Ap 10 '26 600w	Intention Irony Is It Kobin- Landon and and author's farce in in is lies my of or rather reactions satire son superb than the there what your	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	h Nation	122:464 Ap 21 '26 700w	From German I J Krutch Mann W a a all all am and and art artist but character conscious consenting considered embellish essentially fable fantastic for function futilely get has he here; his his however idea in is kingdoms life loves may must naive novel objectively of of of one one own rather reality reasons relationship seem self- so some speculate stops story sure the the the the the the the thoroughly to to upon who with with writer	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	N Y Times	p8 Ap 4 '26 650w	'Royal Highness.' It a a and authority dedicate ethic irony la latent noble novel of privilege rare read stressed the the the the to un- wit with	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
MANN, THOMAS.	Royal highness; tr.	455	2.5	from the German by A. Cecil Curtis.-338p Knopf	Sat R of Lit	3:216 O 16 '26 650w	A And Yet a a a acute and and as be book branded brilliant clever comment compose comprehension declining distinguished dull even facile facts for gambit has implicit in is it it it its large mark moments more must noncommital of of of of of of of or part penetrating pity presentation rather satire shows than than that the the the the truth understanding which wit with writer	3530	3.07477071351	0	3	7	mann + t + royal highness	1.9257075672174309
LEWIS, SINCLAIR.	Mantrap.	414	2.0	308p Harcourt	Booklist	23:81 N '26	A A Canada Is Mantrap New She The The York a against and and and and at between but captivates climax comes comfortable companion diversion flirtatious fond for for for for friendship from fur genuinely he hia him him him his his his hospitable in in infatuation intolerable is kindly lawyer lawyer lodge man northern of of on once own pretty rescued rescues rest river rugged seeks struggle suddenly supremacy takes the the the the to trader trader's who wife wife will woods woodsman young	11780	2.86461256515	1	10	19	lewis + s + mantrap	1.70027334142939
LEWIS, SINCLAIR.	Mantrap.	414	2.0	308p Harcourt	Books (N Y Herald) pll Jl	4 '26 800w	'Mantrap' At D In In L Lewis Mann Mr a a acid amount and are but certain character dealing entertains exciting his humor in incident is it its lamentably matter of of of offers people place produces reduces ridiculous satire situation the the the there this times times to weak when which with	11780	2.86461256515	1	10	19	lewis + s + mantrap	1.70027334142939
LEWIS, SINCLAIR.	Mantrap.	414	2.0	308p Harcourt	Boston Transcript	p4 Je 5 '26 1550w	Bdgett E F Reviewed by	11780	2.86461256515	1	10	19	lewis + s + mantrap	1.70027334142939
LEWIS, SINCLAIR.	Mantrap.	414	2.0	308p Harcourt	Dial	81:444 N '26 130w	It It One advances—by an an and and and are at at avalanche beneath but but characteriza- credible declension—from easy flashes for from humour incredible incredible interred intolerable it keeps last occasional of of of out promisingly satirically sentimentality shrewd starts strokes the the the the the these tion to to welcome	11780	2.86461256515	1	10	19	lewis + s + mantrap	1.70027334142939
LEWIS, SINCLAIR.	Mantrap.	414	2.0	308p Harcourt	Ind	116:721 Je 19 '26 320w	'Mantrap' D In R a and customary deft he his progression realism slighter staccato story tells with	11780	2.86461256515	1	10	19	lewis + s + mantrap	1.70027334142939
LEWIS, SINCLAIR.	Mantrap.	414	2.0	308p Harcourt	Int Bk R p-iS5 Jl	'26 1500w	'Babbitt' Devil's God's Great If If In In Inevitable Is It Just L Lewis Mr Outdoors Outdoors Phelps There W: a another another are believe biting but comparison did disappointed easily examples expectations expected for good have holiday in in is is is is it might mood no not not not not novel of of of one one one's only pontifical realism realized— robes satirist saying story that that the the the the the there this three we we	11780	2.86461256515	1	10	19	lewis + s + mantrap	1.70027334142939
