bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
WILLIAMSON, CHARLES NORRIS, and WILLIAMSON, ALICE MURIEL (LIVING- STON) (MRS CHARLES NORRIS WIL- LIAMSON).	Lion's mouse.	544	0.0	11 «»1.60 (l%c) Doubleday 19-14910	summary	summary	Although California East In Is Is Naturally Reluctant Roger Roger's Roger's Sands Strangely There a a about about again amazingly and and and and and angry appeal appeals arms at away! bears beautiful breathless corporation cousin dare desperate develop develop; do does door door down ebbs even ever excitements face; fast flashes for forty frantically from gives great guise half has he he he he held help her her her her her her him him his his his his however in in inside into irritation is is is is knowing lawyer marries more moved name no not not not of of one one past plunged protection quiet reader reveal room secret see sensations she she she shut slams so so something startled startled state- stateroom still strongly suddenly tall terror that that that the the the the they thing things this to to travelling under until when whirl wife without woman woman yet yields	550	3.7616912235699997	0	3	6	williamson + cnaam + lion's mouse	1.6053334656103146
WILLIAMSON, CHARLES NORRIS, and WILLIAMSON, ALICE MURIEL (LIVING- STON) (MRS CHARLES NORRIS WIL- LIAMSON).	Lion's mouse.	544	0.0	11 «»1.60 (l%c) Doubleday 19-14910	A L A Bkl	16:99 D '19	An and comparatively complicated enjoyable free from grue- mystery not some story the too	550	3.7616912235699997	0	3	6	williamson + cnaam + lion's mouse	1.6053334656103146
WILLIAMSON, CHARLES NORRIS, and WILLIAMSON, ALICE MURIEL (LIVING- STON) (MRS CHARLES NORRIS WIL- LIAMSON).	Lion's mouse.	544	0.0	11 «»1.60 (l%c) Doubleday 19-14910	N Y Times	24:475 S 21 '19 400w	Lovers detective enjoy mystery of of stories the the unraveling will	550	3.7616912235699997	0	3	6	williamson + cnaam + lion's mouse	1.6053334656103146
WILLIAMSON, CHARLES NORRIS, and WILLIAMSON, ALICE MURIEL (LIVING- STON) (MRS CHARLES NORRIS WIL- LIAMSON).	Lion's mouse.	544	0.0	11 «»1.60 (l%c) Doubleday 19-14910	(- Sprfngfd Republican plO D	10 '19 240\v	In It The alities allotted and and are artifici- authors authors' carry devices glaring globe-trotting interest its length matches narratives obliged of resort romance scarcely stock story the the to to to	550	3.7616912235699997	0	3	6	williamson + cnaam + lion's mouse	1.6053334656103146
WILLIAMSON, CHARLES NORRIS, and WILLIAMSON, ALICE MURIEL (LIVING- STON) (MRS CHARLES NORRIS WIL- LIAMSON).	Lion's mouse.	544	0.0	11 «»1.60 (l%c) Doubleday 19-14910	The Times [London] Lit Sup	p594 O 23 '19 60w		550	3.7616912235699997	0	3	6	williamson + cnaam + lion's mouse	1.6053334656103146
WILLIAMSON, CHARLES NORRIS, and WILLIAMSON, ALICE MURIEL (LIVING- STON) (MRS CHARLES NORRIS WIL- LIAMSON).	Lion's mouse.	544	0.0	11 «»1.60 (l%c) Doubleday 19-14910	Wli Lib Bui	15:244 N '19 60w	The Williamson lively usual yarn	550	3.7616912235699997	0	3	6	williamson + cnaam + lion's mouse	1.6053334656103146
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Charm school.	349	1.4	11	summary	summary	"A Austin Bevans But He He His Mr She a a a a and apt as as at at attainments aunt awaits basis best boarding but chance charm charm"": determination electrifying emphasis end equal escape fate find finds from gentleman handsome happy has has has he he he he he head high him himself his his his in in inherits intellectual is ladles' maiden natural new not not occasion of of of of of on on on on one only place plan position proves pupils pupils rather reckoned reorganizes school school school school select sense situation small so startling story's such teach that the the the the the the the the the the to to to to twenty-five well well well when will will women works world young young"	1200	3.70467648943	1	4	5	miller + a + charm school	1.5732267962981086
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Charm school.	349	1.4	11	A L A Bkl	16:59 N '19	A comedy little merry slight	1200	3.70467648943	1	4	5	miller + a + charm school	1.5732267962981086
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Charm school.	349	1.4	11	Cleveland plOS N	'19 60w	An comedy engaging little sentimental	1200	3.70467648943	1	4	5	miller + a + charm school	1.5732267962981086
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Charm school.	349	1.4	11	N Y Times	24:536 O 12 '19 700w	Altogether amusing- and delightful	1200	3.70467648943	1	4	5	miller + a + charm school	1.5732267962981086
MILLER, ALICE (DUER) (MRS HENRY WISE MILLER).	Charm school.	349	1.4	11	Sprlngf'd Republican	p!7 S 28 '19 420w	And Impression Intelligence Miller Mrs No With a a and and are art but dealing demand distinct do does even expect fantasy farce for gives hardly have her it lively material mistake not of of of one plays produces quality reality right self-contained she so tale that the the the to to unified we we when will with with work you	1200	3.70467648943	1	4	5	miller + a + charm school	1.5732267962981086
