bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
CAMP, CHARLES WADSWORTH.	Hidden road.	88	1.75	334p Doubleday	requisite	"300 pages.""—Lit R"	'hid- As This a a a adventuring after along also and and and and become choice choice conceived create dealing deep delays den engaged faces for for from from general happiness has has he he heiress himself hindrances ia in interest is it judge love maintain man might nature nature necessary novels numerous of of of of one or out out passion practically reader's road' selling stenographer stenographer story sudden suspense that the the the the the the the the the the those to to to to to ultimately who whom whom wins with with	630	3.23055555556	0	1	5	camp + cw + hidden road	1.83006993091745
CAMP, CHARLES WADSWORTH.	Hidden road.	88	1.75	334p Doubleday	h Boston Transcript	p4 My 27 '22 530w	But French I Its L Rood The There There W a a a a a and anything as as being bring cold crisper cutting deal deal destroy does even extraneous feeling gives good is is is it matter might natural naturalness needs needs new not of of of out present rambling repetition say so style such the there thing too very volume weeding which which	630	3.23055555556	0	1	5	camp + cw + hidden road	1.83006993091745
CAMP, CHARLES WADSWORTH.	Hidden road.	88	1.75	334p Doubleday	Lit R	p747 Je 17 '22 MOw	While a a above and average by con- considerably entertainingly is is means narrative no novel one skill story the the the theme vincingly with written	630	3.23055555556	0	1	5	camp + cw + hidden road	1.83006993091745
CAMP, CHARLES WADSWORTH.	Hidden road.	88	1.75	334p Doubleday	-) NY Times plS.My	28 '22 70w	A There and and bad confusing excellence good is mediocrity mixture of some some very writing •	630	3.23055555556	0	1	5	camp + cw + hidden road	1.83006993091745
CAMP, CHARLES WADSWORTH.	Hidden road.	88	1.75	334p Doubleday	Wis Lib Bui	18:185 Jl '22		630	3.23055555556	0	1	5	camp + cw + hidden road	1.83006993091745
BERESFORD. JOHN DAVYS.	Prisoners of Hartllng.	43	1.75	273p Macmillan [7s 6d Col-	"on the business."" New Statesman"		A After Hurtling Into It Just Kenyon] Mike They [Garvice a a a a a all all all all amusing and and and and and and and and and announcement as at attractive away be becomes been before blunders but by carry children circle country cut damned.' daughters; death delicately disposition doctor everything expense family family's forty girl gives go gradually gradually grandchildren grandnephew has has he he he him himself his his his his his his house: if in in in in in influence initiative insists is kills least left live lives living lose made man man man marry move of of of of of old old old on one only out out own paralysing parlour party perceives relatives rescued resolve rich she show silent sit situation slightest subject that that the the the the the the the the the their them there they they they this time to to to to to together turns understand very very who will will will will: with years young youngest	5740	3.27756076389	1	11	16	beresford + jd + prisoners of hartling	1.9607922839695784
BERESFORD. JOHN DAVYS.	Prisoners of Hartllng.	43	1.75	273p Macmillan [7s 6d Col-	Boston Transcript	p6 Mr 18 '22 850w	'The E E F Few Hart- Prisoners a as f ling.' novels! of outcome progress rational so steadily towards	5740	3.27756076389	1	11	16	beresford + jd + prisoners of hartling	1.9607922839695784
BERESFORD. JOHN DAVYS.	Prisoners of Hartllng.	43	1.75	273p Macmillan [7s 6d Col-	Dial	72:535 My '22 130w	Bcresford Job Mr The The a a against and and and anti-climax apprehension author authority book characters climax difficult distinguishing done dulness easier fault gentle good greed has how in in individuals is is is less lively none of of of of of of rather reaches rebels remarkable servility several single sort stream the the the the the the the this thoroughly to too two understands unit use well well which	5740	3.27756076389	1	11	16	beresford + jd + prisoners of hartling	1.9607922839695784
BERESFORD. JOHN DAVYS.	Prisoners of Hartllng.	43	1.75	273p Macmillan [7s 6d Col-	Freeman	6:22 S 13 '22 120w	Although B Beresford L a addition an and any author competent consequences develop from gets high-handed important interference is is it it lets nevertheless not novel of people perhaps sharply shelf surface the the the the to under which without	5740	3.27756076389	1	11	16	beresford + jd + prisoners of hartling	1.9607922839695784
BERESFORD. JOHN DAVYS.	Prisoners of Hartllng.	43	1.75	273p Macmillan [7s 6d Col-	Ind	108:333 Ap 1 '22 250w	Boynton H Reviewed W by	5740	3.27756076389	1	11	16	beresford + jd + prisoners of hartling	1.9607922839695784
