bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	summary	summary	"'Don Although Don Don Each In It It Juan Juan.""—N Juan.' Prado Ramos Spanish There Times Y a a a a always and and any are aspect brief by came changed,' character city cover declares del did die; emerged emphasizes entitled epilogue few from gives glimpse grave his his hut in infirmity inhabitants is is its its life means more more more no not of of of of of of of of one one or or or pages pass profoundly prologue relation series short shows sketches sketches slender small some some sometimes spirit study tMs than than that that the the their them these thirty-nine this though three to to town transformation two us us volume while y"	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	Boston Transcript	p2 Ap 19 '24 400W	This a enjoy enough is it still story such sweet that to we we were wish young young	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	Int Bk R	p554 Je '24 GOOw	279 Byron Dexter For Is Katharine Mansfield This although beaten been been bet- brought could country delightful enough expertly finished froth given grace have hns is it kind lightest most of of out over pages publisher same since stretch style that the the the the thing thing this to to up whole	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	Lit R	p575 Mr 8 '24 850w	F It M Weeks a a a and and and catholic forgets generation he limpid not of of or pure so so style sympathies thrifty very vital which will wise writer	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	Nation	118:320 Mr 19 '24 800w	All Azorin's Eliseo English The Vivas all been desired escapes from have he his in leaves nostalgia nothing of pictures poetry preserved prose subtle that the the this to version version weary	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	New Statesman	22:376 Ja 5 '24 170w		3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	N Y Times	p9 Ja 27 '24 600w	'Azorln,' a a a a a admirable are as as beauty compressing couple distinction doing- for gift has history it lifetime moreover of of of pages: sensitiveness style the they to unusual with within	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	N Y Tribune	p24 Jl 13 '24 620w	Firhter L Reviewed W: by	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	N Y World	p7e Ja 27 '24 1500W	Cline I L Reviewed by	3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
RUIZ, JOSE MARTINEZ (AZORIN, pseud.).	Don Juan; tr.	511	2.0	from the Spanish by Catherine Alison 1'hillips. 144p Knopf	The Times [London] Lit Sup	p238 Ap 17'24 200w		3280	3.6	0	4	10	ruiz + jm + don juan	1.5535932685106892
DELANO, MRS MARGARET WADE (CAMP- BELL).	New friends in Old Chester.	158	2.0	272p Harper [7s 6d Murray] 24-11140	Booklist	21:27 O '24	An Chester Chester Contents: Dr Eliots1 How Katy; King Lavendar Most Old The Willie and are are background but could familiar friends in in new novelettes of of of old scene secret: she! the the the these three	3630	3.57575757576	1	4	11	deland + mw + new friends in old chester	1.5791782072487683
DELANO, MRS MARGARET WADE (CAMP- BELL).	New friends in Old Chester.	158	2.0	272p Harper [7s 6d Murray] 24-11140	Boston Transcript	p3 Je 7 '24 1200w	The They a and and and and are century disappeared eccentricities endure endured fads first flavor forgotten has have have impregnates in literary new of of of old quarter something something stories that that the the the them these twentieth vitality when will	3630	3.57575757576	1	4	11	deland + mw + new friends in old chester	1.5791782072487683
DELANO, MRS MARGARET WADE (CAMP- BELL).	New friends in Old Chester.	158	2.0	272p Harper [7s 6d Murray] 24-11140	Int Bk R	p819 O '24 200w	Bowker R Reviewed V by	3630	3.57575757576	1	4	11	deland + mw + new friends in old chester	1.5791782072487683
DELANO, MRS MARGARET WADE (CAMP- BELL).	New friends in Old Chester.	158	2.0	272p Harper [7s 6d Murray] 24-11140	Nation and Ath	35:669 Ag 30 '24 260w	-Muir Deland Edwin In Mrs She They account actual admirable ago and and and are be' but ceased championship did domestic effective exist fifty first great her her if ignored imply in in is is likes moral more narrative not odd of of of or over people record servant-girl's she simplicity storm story straightforward strong that the the the the the the them they through to tone trudge victory vivid weak with would years	3630	3.57575757576	1	4	11	deland + mw + new friends in old chester	1.5791782072487683
