bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	wordcount	avgsentiment	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
ABBOT, ANTHONY.	About the murder of Ger- 2 aldine Foster.	1	2.0	292p Covici	Bookm 72:xxiv D	'30 150w	City Colt New Thatcher The York a commissioner fea- first mystery of of of police series stories turing	520	3.7736154468699996	0	2	3	abbot + a + about the murder of geraldine foster	1.9379304899050696
ABBOT, ANTHONY.	About the murder of Ger- 2 aldine Foster.	1	2.0	292p Covici	Books	p20 D 14 '30 250w	City Colt Commissioner Cuppy Introducing New Police Thatcher Will York a a a a and as billed chronicles circles erate faithful for former his his in lit- narrator new none of of other quarters releases riddling rousing secret secretary sleuth suspicion talent than the the through to welcome who with wrong	520	3.7736154468699996	0	2	3	abbot + a + about the murder of geraldine foster	1.9379304899050696
ABBOT, ANTHONY.	About the murder of Ger- 2 aldine Foster.	1	2.0	292p Covici	Outlook	156:550 D 3 '30 120w	A Brooks R W exciting good yarn	520	3.7736154468699996	0	2	3	abbot + a + about the murder of geraldine foster	1.9379304899050696
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679	Booklist	26:235 Mr '30	(Book 1927) Hervey In Is Mary Review She The The Turning a a advances age as begins belated book business but but by cannot children continues digest elude family father feel finds firm first happiness has he head her her her her her her husband love lovely middle missed of of of one one return second she she she ship'' shipbuilding successful that that the the to to to trilogy was which woman	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679	Bookm	71:102 Mr '30 500w	'show' 'tell' Chamberlain Jameson John Miss She a a an and best but can descriptions dramatic excellent fails for has her in in lovely narrative of penchant sense she style sub-aqueous the them tints to with	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679	Books	p3 Ja 19 '30 750w	'The 'The 540 Despite Home' Home' Is It P Ross The V Voyage Voyage When Wisdom a a a a among and book careful certain curious distinction expression eyes face face find gaps half has has have her however in la lights like lovely luminous material mellowness met needed pages rather read reflected rich sewing shape shapeless shines sketchy slackness slips the to where with with with woman you you you	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679		•1 Christian Science Monitor p!3 Mr 16 '30 460w	'The Home' Justification One One Pritchett S The V Voyage a about all and are back basis book by characters' depended emotions family family feels felt firmly for generation has her history into is leaves life made mentality mind of on one one's rather strangely than that that that the the the the their think to to tree unmoved up values voracious was way well-stated which whom with woman written	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679	Nation and Ath	46:644 F 8 '30 20w	Irvine L L Reviewed by	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679	NY Evening Post	p7m Ja 18 '30 BOOw	Jameson's McHugh Miss Unaccountably Vincent Virginia Woolf a a a age and are by by charm comment distinguished fresh her in kind lacking led manner manner not of of of off on own pages purely reputable resumes sometimes temper the the thereafter two very which wit work	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
JAMESON, STORM (MRS GUY CHAPMAN).	Voyage home.	538	2.5	296p Knopf [7s 6d Heine- mannj 30-2679	N Y Times	p9 Ja 19 '30 400w	Henry Hervey In In Insight James's Jameson Margaret Mary She Storm There There Wallace a a a about air and and and and and are but but character come conclusion conclusions corners created depth dissatisfied distinc- eager emotion even evoke—in familiar fine for fragmentary hackneyed has her her human in is leaves make more most motive objects obscure of of of one penetrates phrases presents real recognition recognizable she significant the the the the this tion—the to valuable volume volume which which which will writing •	4740	3.3261979089200002	1	6	14	jameson + s + voyage home	1.5460935623268113
