Title;Author;Vol_Id;Latest_comp;First_Pub;Source;Source_pp;Nation;Notes
Ryder;Barnes, Djuna;mdp.39015014760154;;1928;Marcus, Nicholls;p. 26;American;it sparked some of the energy behind the experiments of Lawrence, Joyce, Djuna Barnes, Virginia Woolf and others.
Nightwood;Barnes, Djuna;mdp.49015000561713;1937;1936;Friedman, Fuchs;p. 19;American;Denunciation of Western patriarchy, of its sexual mores and sociocultural expectations, as well as its forms of narrative, is reflected in Barnes's dehumanization of character. Alienated, deprived of love, or sexually confused, Nightwood's characters are drained of vitality except for sudden outbursts of grief or protest. Ortega y Gasset identifies dehumanization as a device of the avant garde, its aim to mitigate a reader's tendency to empathize, thus compelling objectivity and critical judgment 
Murphy;Beckett, Samuel;umn.31951p001743923;;1938;Marcus, Nicholls;p. 397;Irish;Editor Eugene Jolas was fascinated by the workings of the unconscious in language, and his involvement with psychoanalysis and with various forms of irrationalism made transition a receptive home for the work of writers like James Joyce and Samuel Beckett who had set their face against British tradi- tionalism.
Two Serious Ladies;Bowles, Jane Auer;mdp.39015010824095;;1943;Friedman, Fuchs;p. 20;American;"Her prose, particularly in Two Serious Ladies (1943), may be
compared to DaIi paintings in which objects have verisimilitude but are
out of proportion and placed in inappropriate contexts"
Development: A Novel;Bryher (Ellerman, Annie Winifred);mdp.39015062086270;;1920;Gasiorek;p. 54;British;
Ashe of Rings;Butts (Rodker), Mary Francis;uc1.b4097580;1926;1925;Gasiorek;p. 454;English;"""Mary Butts produced a modernism that belongs firmly to an anti‐urban literary lineage"""
Death of Felicity Taverner;Butts (Rodker), Mary Francis;uc1.b3810863;;1932;Gasiorek;p. 454;English;
To Be A Pilgrim;Cary, Joyce;mdp.39015030728128;1951;1942;Plain;p. 85;Irish;"Joyce Cary’s
The Horse’s Mouth (1944). This is the fi nal part of a ‘triptych’, begun
with Herself Surprised (1941) and followed by To Be A Pilgrim (1942),
that tells overlapping stories from three different points of view. Each book is a master-class in unreliable narration."
A House and its Head;Compton-Burnett, I. (Ivy);mdp.39015008568803;1951;1935;Marcus, Nicholls;p. 230;British;Some of the most interesting innovations in dialogue in this period are found in the novels of Ivy Compton-Burnett, especially Brothers and Sisters (1929), More Women than Men (1933), A House and its Head (1935) and A Family and a Fortune (1939)
A Family and a Fortune;Compton-Burnett, I. (Ivy);pst.000006661151;;1939;Marcus, Nicholls;p. 230;British;Some of the most interesting innovations in dialogue in this period are found in the novels of Ivy Compton-Burnett, especially Brothers and Sisters (1929), More Women than Men (1933), A House and its Head (1935) and A Family and a Fortune (1939)
The Shadow Line;Conrad, Joseph;uc2.ark+=13960=t6n01c29h;;1917;Gasiorek;p. 309;Polish-British;Only mentioned in this book, it's better to find another sec_source
