,raw_pub,best_match,best_match_prob
0,summary,summary,100.0
1,N Y Times,N Y Times,100.0
2,Outlook,Outlook,100.0
3,Boston Transcript,Boston Transcript,100.0
4,N Y Call,N,74.0
5,A L A Bkl,A L A Bkl,100.0
6,N Y Tlmes,N Y Times,89.0
7,Wls le Bul,Wilson bulletin,68.0
8,Bookm,Bookm,100.0
9,Cleveland,Cleveland Open Shelf,87.33333333333333
10,Springf'd Republican,Springfield Republican,85.66666666666667
11,Bolton Transcript,Boston Transcript,94.0
12,Nation,Nation,100.0
13,New Repub,New Repub,100.0
14,WI. le Bul,Wis Lib Bui,63.333333333333336
15,A L A Bkl15267 N,A L A Bkl,79.66666666666667
16,Dial,Dial,100.0
17,Ind,Ind,100.0
18,Pub W,Pub W,100.0
19,R of Rs,R of Rs,100.0
20,A L A Bkl15131 O,A L A Bkl,79.66666666666667
21,Spec,Spec,100.0
22,Sprlan’d Republican,Springfield Republican,73.33333333333333
23,The Times [London] Lit Sup,Times [London] Lit Sup,97.0
24,Natlon,Nation,83.0
25,Dlal,Dial,75.0
26,' Dial,Dial,100.0
27,th D,Lit D,73.33333333333333
28,Springf’d Republican,Springfield Republican,85.66666666666667
29,A L A Bkl15:28 O,A L A Bkl,79.66666666666667
30,Sat R,Sat R,100.0
31,Ath,Ath,100.0
32,N Y Evening Post,N Y Evening Post,100.0
33,Cath World,Cath World,100.0
34,N Y Libraries,N,71.33333333333333
36,+-—- N Y Tlmes,N Y Times,89.0
37,' _ Sprlan'd Republican,Springfield Republican,72.66666666666667
38,WII le Bul,Wis Lib Bui,61.333333333333336
39,The Times [London] th Sup,Times [London] Lit Sup,85.33333333333333
40,Sat Fl,Sat R,76.0
41,A L A Bkl15:69 N,A L A Bkl,79.66666666666667
42,A L A Bkl15:72 N,A L A Bkl,79.66666666666667
43,Wis Lib Bul,Wis Lib Bui,91.0
44,Nat on,Nation,83.0
45,—Spec,Spec,100.0
46,A L A Bkl15:67 N,A L A Bkl,79.66666666666667
47,B9ston Transcript,Boston Transcript,94.0
48,"+'— so..."" Transcript",Boston Transcript,81.66666666666667
49,—— Pub W,Pub W,100.0
50,+The Times [London] th Sup,Times [London] Lit Sup,85.33333333333333
51,ITS ‘ll'ggo Times [London] th Sup,Times [London] Lit Sup,86.0
52,Sprian'd Republican,Springfield Republican,76.66666666666667
53,Nstlon,Nation,67.0
