bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
MOLLOY, ROBERT.	Pound foolish.	647	3.0	Lippincott	Chicago Sunday Tribune	p5 N 26 '50 550w	1914 a Butcher by charleston Fanny gentleman Henri in In is Lemay living of of old Reviewed school southern story the the This	4.0	3.60017340269	0	1	6	molloy + r + pound foolish	1.8940860212700599
MOLLOY, ROBERT.	Pound foolish.	647	3.0	Lippincott	Christian Science Monitor	p8 D 23 '50 330w		4.0	3.60017340269	0	1	6	molloy + r + pound foolish	1.8940860212700599
MOLLOY, ROBERT.	Pound foolish.	647	3.0	Lippincott	Kirkus	18:659 N 1 '60 130w		4.0	3.60017340269	0	1	6	molloy + r + pound foolish	1.8940860212700599
MOLLOY, ROBERT.	Pound foolish.	647	3.0	Lippincott	Library J	76:1903 N 1 '50 80w	a and and Anne appealing book Human make more of quality readable Recommended this understanding unpretentious warmth Whit-	4.0	3.60017340269	0	1	6	molloy + r + pound foolish	1.8940860212700599
MOLLOY, ROBERT.	Pound foolish.	647	3.0	Lippincott	N Y Herald Tribune Bk R	pl2 N 26 '50 650w	'Pound 1914 a all and and and are are as as beruffied bit brand but charm endearing episodes even fluffy Foolish' friends funny gyurl her is is its its its Leonle Mary nearly of of on particular pastel people practically preposterous Ross shirtwaists side southern summer that that the the undeniable wearing were when	4.0	3.60017340269	0	1	6	molloy + r + pound foolish	1.8940860212700599
MOLLOY, ROBERT.	Pound foolish.	647	3.0	Lippincott	N Y Times	p36 N 26 '50 300w	a an Because because cannot does does does episodically even excitement G has have have he he here his hold However if is it it it lacks M mean Molloy moments Mr murky narrative not not not novel's of or over-riding readers shown skill that the theme to unity	4.0	3.60017340269	0	1	6	molloy + r + pound foolish	1.8940860212700599
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	River's rim.	1	2.76	254p Lipplncott. 50-6067	Chicago Sunday Tribune	pl7 Mr 26 '60	1812 a a Abbott American and because bis British brother by cloud country Darby during father hero Historical Is Its loyal Niagara novel of of of Quint Reviewed suffers suspicion sympathizers the the under war Warren were who	1.0	2.26010404162	1	1	2	abbott + jld + river's rim	1.6407523518570242
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	River's rim.	1	2.76	254p Lipplncott. 50-6067	NY Times	p33 Ap 30 '60 lOOw	Abbott Action bad cares characters die does fit good her Is It Jane Johnston keeps life like little live lOOw Mary mate much Nor reader remote so that the the the The the the to war what	1.0	2.26010404162	1	1	2	abbott + jld + river's rim	1.6407523518570242
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	Booklist	46:233 Mr 16 '50	a Adirondack* and Bertha books children Claudia Claudia cottage David David describes experiences family: from in in in is is It maid of of recuperating rented series sixth the the the the the the the This three tuberculosis where	2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	Chicago Sun	p6 F 22 '50 420w	adds almost and and appear as book central Clare Claudia Claudia concentration do effect experience feel figure Franken had if It Jaynes let makes Miss nothing of on prose put reactions she simple simply skillful straightforward that The the the the The there this to to undistinguished with	2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	Chicago Sunday Tribune	p4 Mr 19 '50 350w	allowed and author's be by character cloying Daly dubious emotion every In insistence literary lives make Maureen of performance reader saccharine sentimental share she standards taste that The the the the the the to tremulous which whole woman	2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	Kirkus	17:676 D 15 '49 130w		2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	N Y Herald Tribune Bk R	pl5 Mr 12	a act and any at but But cftlcnifltcd'' characters circumstances circumstances Claudia come emotions fans formula Franken's frequently—to fresh given how in is know Miss naturally—and obvious of of popular seems set sets the the the this this time trifle tug will writer	2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	N Y Times	p34 F 19 '50 560w	'50 almost amusing and as as be books but Claudia convincing—and disturbing doesn't effectiveness enough fact far far far Franken go goes going Granville her her Hicks HOw I in in Is is It lies lies Miss not not novel of of or popularity probably realistic secret she suspect tells that that The the the the the the The to too too touching—but truth truth	2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
FRANKEN, ROSE D. (LEWIN) (MRS WIL- LIAM BROWN MELONEY).	From Claudia to David.	323	2.75	273p Harper	Sat R of Lit	33:28 Mr 18 '50 140w	are ashamed be be Brown but C can't chances continued cry Eleven-o'clock-in-a-busy-morning hold Inevitably It M out tears the to you you you'll	2.5	3.0667822684599995	2	4	9	franken + rdl + from claudia to david	1.8036108385290608
