bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
AARONS, EDWARD SIDNEY (EDWARD RONNS, pseud).	No place to live.	1948	2.0	220p	N Y Times plO D	28 '47 230w	a A and are characters Detective enough five-foot I in mayhem murder of of people shelf story story tales There this to tough	3.0	3.3643851508099996	0	1	4	aarons + es + no place to live	1.7233951134011751
AARONS, EDWARD SIDNEY (EDWARD RONNS, pseud).	No place to live.	1948	2.0	220p	San Francisco Chronicle	p20 D 14 '47 60w	by D Doyle E Reviewed	3.0	3.3643851508099996	0	1	4	aarons + es + no place to live	1.7233951134011751
AARONS, EDWARD SIDNEY (EDWARD RONNS, pseud).	No place to live.	1948	2.0	220p	Sat R of Lit	30:28 D 20 '47 50w	alacrity and commendable doesn't exciting jell little moves number pungent quite Racy scenes solution that through to with	3.0	3.3643851508099996	0	1	4	aarons + es + no place to live	1.7233951134011751
AARONS, EDWARD SIDNEY (EDWARD RONNS, pseud).	No place to live.	1948	2.0	220p	Sprmcjfd Republican	p7B D 28 '47 lOOw		3.0	3.3643851508099996	0	1	4	aarons + es + no place to live	1.7233951134011751
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	Klrkus	15:483 S 1 '47 SOw	Detective story	4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	N Y Herald Tribune Wkly Bk R	p24	by Cuppy Reviewed Will	4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	N Y Times	p40 O 19 '47 HOw	'47 140W 19 Anderson are blank book covers dull in inside Isaac Just O ones only pages The the the this	4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	New Yorker	23:116 N 1 '47 lOOw		4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	San Francisco Chronicle	p27 O 19 '47	always and As as as as as as B been clean course D Doyle he's Intricate is It's Mason of Perry puzzle satisfying smart solution The the usual	4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	Sat R of Lit	30:32 O 18 '47 40w	SOw	4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
GARDNER, ERLE STANLEY.	Case of the lazy lover.	335	2.5	250p Morrow	Springf'd Republican plOB N	16 '47 90w		4.0	3.70619821014	1	3	7	gardner + es + case of the lazy lover	2.0998242974115717
WESTERBY, ROBERT.	Champagne for mother [Eng title: A magnum for my mother].	960	2.5	255p Duell	Booklist	44:10 S 1 '47	a after all and and author's been between brothers but champagne children children company England exhausting five for happy have his in in is Journey may mischievous mother night not of one ordered particularly Reminiscences she sisters spent that the the The their train two two two wars what with with youth	4.0	3.7943387471	2	3	5	Hathi: westerby robert + champagne for mother	1.16
WESTERBY, ROBERT.	Champagne for mother [Eng title: A magnum for my mother].	960	2.5	255p Duell	Chicago Sun Book Week	p5 Jl 13 '47 170w		4.0	3.7943387471	2	3	5	Hathi: westerby robert + champagne for mother	1.16
WESTERBY, ROBERT.	Champagne for mother [Eng title: A magnum for my mother].	960	2.5	255p Duell	Kirkus	15:211 Ap 1 '47 120w	a a books family gesture In is of of on pleasant plethora recall spite this	4.0	3.7943387471	2	3	5	Hathi: westerby robert + champagne for mother	1.16
WESTERBY, ROBERT.	Champagne for mother [Eng title: A magnum for my mother].	960	2.5	255p Duell	Library J	72:886 Je 1 '47 80w	  a a A an and and anecdotes biographies book children detail English enjoy for happy humor is Johnson M nostalgic of real scene This those Told understanding vivid who with with	4.0	3.7943387471	2	3	5	Hathi: westerby robert + champagne for mother	1.16
WESTERBY, ROBERT.	Champagne for mother [Eng title: A magnum for my mother].	960	2.5	255p Duell	Sat R of Lit	30:28 Jl 12 '47 320w	a a a amusing and and attention before careful Chalkin characters darted eyes fine flashing for G has has He his laughter made most Mr N of of our our our picture picture talent the through unpretentiously vividly Westerby who worthy writes youth	4.0	3.7943387471	2	3	5	Hathi: westerby robert + champagne for mother	1.16
