bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
HODGKIN, M. R.	Student body.	424	2.5	Scrlbner	Chicago Sun Jl	15 '49 SOw	by Detective James Reviewed Sandoe story	2.5	2.99164065983	0	2	4	hodgkln + mr + student body	1.678720138323929
HODGKIN, M. R.	Student body.	424	2.5	Scrlbner	Kirkus	17:284 Je 1 '49 70w	a but is never Not professional skittish touch very which young	2.5	2.99164065983	0	2	4	hodgkln + mr + student body	1.678720138323929
HODGKIN, M. R.	Student body.	424	2.5	Scrlbner	NY Times	p!9 Jl 17 '49 SOw	'49 31 A a a appeal B Bk book's but by callowness Cuppy dialogue E Herald in In Indifference is Jl limit llOw matter N narrative not of only plO probably quality R Reviewed such the the the those to to Tribune whole whom Will will Wkly Y	2.5	2.99164065983	0	2	4	hodgkln + mr + student body	1.678720138323929
HODGKIN, M. R.	Student body.	424	2.5	Scrlbner	San Francisco Chronicle	p!2 Jl 10 '49 190w	'Student (You a almost any be be between Body.' book briefly But couldn't course D don't Doyle E enough good had has is It It its more murder must mystery Now of of open ourself pause reluctant tell than that the the this title title to to to told try two us We we were wonderful words.) worthy year	2.5	2.99164065983	0	2	4	hodgkln + mr + student body	1.678720138323929
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	summary	summary	Artificial Beneath Cardinal Concerning Contents: eccentricities Flower Foot; Nigger; of Pirelli; Prancing princess The the the The Valmouth;	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	Kirkus	17:589 O 15 '49 130w	a a and appeal audience but comedy discovery effect esoteric for general have limit of pleasant pointlessness precious qualities sharp social taste the the Their those to today's will will with writing	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	Library J	74:1674 N 1 '49 150w	Aldous alike; All all and and and are are as audacity bank bewildering but by collcc common different Fir- Firbank For from gay—inconsequential Green have Henry Huxley in is is is K large much No novels of rap- readers reprinted Ronald separated sophisticated sparkling style T the the the them tions turously two Willis wit	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	Manchester Guardian	p4 D 9 '49 360w	A a able almost and and and be bloomfield book but Christmas circles commentaries condense enough especially everywhere exalted for frail genius gilded his in infinitely into managed mixing new nine nonsense of of old on Paul readers short-lived subtle thirty- to to to travel who wonderful write writer years young	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	Nation	169:520 N 26 '49 1800w	  'Five a a all and and are are as as at be beauty been better chosen comic curious earthly Ernest ever exotic fashionable Firbank Firbank Firbank' five has has he his If important in in is It Jones loved makes materialism more mortality note Novels novels of of of of of of of One only only or page poignant praises print random read rich Ronald sense so so soundly suppose than the the the the the their their these those to to to to transcience well well which with works writer	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	New Repub	122:21 Ja 9 '50 310w	'exquisite almost and and arch at at attention best books But by calls Firbank Firbank forces his his incomparable Inconsequence' Inevitably is Is is it kind matched most of of Osbert phrase readily rewarded—to Sitwell the the the these this too trivial uneven What where worst writing	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
FIRBANK, ARTHUR ANNESLEY RONALD.	Five novels; with an introd.	297	5.0	by Osbert Sit- well. 472p New directions	N Y Times	p5 N 20 '49 850w	'Alice 'get a a am an An and as as Auden be be bold book books but but Christmas employ false Firbank for guest H have him his I Ideal importance In in it lost' not of permanent prepared present responsible room; say say serious soon speaking that the To to to tone very W will Wonderland.' would	4.0	3.63829692376	1	3	10	firbank + aar + five novels	1.83006993091745
