bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
ABBEY, KIERAN, pseud.	And let the coffin pass.	1943	2.0	237p Scribner	Booklist	38:369 Je 1 '42	Detective story	4.0	3.8761492698800004	0	2	4	abbey + k + and let the coffin pass	1.8826010942310645
ABBEY, KIERAN, pseud.	And let the coffin pass.	1943	2.0	237p Scribner	Books plS Ap	19 '42 200w	a and be comic concentrate Cuppy dark devious expertly from heroine Is likely on one puzzle Readers recourse rejoice relief rewarded riddled sober-sided start suffer the the This those to to to triply want while who who will will Will wish with without	4.0	3.8761492698800004	0	2	4	abbey + k + and let the coffin pass	1.8826010942310645
ABBEY, KIERAN, pseud.	And let the coffin pass.	1943	2.0	237p Scribner	N Y Times	p!4 Ap 12 '42 240w	Anderson by Isaac Reviewed	4.0	3.8761492698800004	0	2	4	abbey + k + and let the coffin pass	1.8826010942310645
ABBEY, KIERAN, pseud.	And let the coffin pass.	1943	2.0	237p Scribner	Sat R of Lit	25:17 My 23 '42 60w	but Good story very winding	4.0	3.8761492698800004	0	2	4	abbey + k + and let the coffin pass	1.8826010942310645
LAUFERTY. LILIAN (MRS JAMES WOLFE).	Crimson thread.	454	2.0	370p Simon & Schuster	-I Books	pl3 F 15 '42 120w	a and and are at Behind-the-scenes boot but Cuppy Detective end exciting extra footage? furious gambits generous grows helpings Here highly It's kick kinds long many more much mystery of of of puzzle so some some story stuff the the them to too toward why Will yarn	4.0	3.81422390481	1	1	4	lauferty + l + crimson thread	1.6268908757526577
LAUFERTY. LILIAN (MRS JAMES WOLFE).	Crimson thread.	454	2.0	370p Simon & Schuster	N Y Times	p!4 F 22 '42 240w	Anderson by Isaac Reviewed	4.0	3.81422390481	1	1	4	lauferty + l + crimson thread	1.6268908757526577
LAUFERTY. LILIAN (MRS JAMES WOLFE).	Crimson thread.	454	2.0	370p Simon & Schuster	Sat R of Lit	25:21 F 21 '42 40w	and but Characterizations clever detective emoting enjoyable excellent—especially Good hewn of of personalities—plenty radio rough those	4.0	3.81422390481	1	1	4	lauferty + l + crimson thread	1.6268908757526577
LAUFERTY. LILIAN (MRS JAMES WOLFE).	Crimson thread.	454	2.0	370p Simon & Schuster	-{ Time	39:80 Mr 2 '42 40w	but clouds effect Emotion general Is pleasing plot sometimes the the	4.0	3.81422390481	1	1	4	lauferty + l + crimson thread	1.6268908757526577
PRATT. THEODORE (TIMOTHY BRACE,	Mr Limpet; drawings by Garrett Price.	615	1.75	144p Knopf	Booklist	38:210 F 16 '42	a a a a ability about an and and asset became bookkeeper but day detect except existence fell flsh flsh flsh glasses government he his his his In into into lieutenant like Limpet Limpet little looked managed mild Mr Mr much New novel of of On presently priceless quickly rank retain rewarded Satirical spectacles spiritual submarines that the the the thru to to to turned was water who with wore York zero	4.0	3.89384223132	2	4	7	pratt + t + mr limpet	1.4914307248840746
PRATT. THEODORE (TIMOTHY BRACE,	Mr Limpet; drawings by Garrett Price.	615	1.75	144p Knopf	Bookmark	3:17 Mr '42		4.0	3.89384223132	2	4	7	pratt + t + mr limpet	1.4914307248840746
