bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
ROBERTS, MRS EDITH (KNEIPPLE).	This marriage.	759	2.5	306p Bobbs	summary	summary	a affairs an an and and and as basis but came Clare Clare contract could decided devotedly disaster drew each end enjoy family freedom freedom gesture; grief have he idle in In In inevitably it it life live lives loved loving marriage marriage marry Martin Martin Martin Martin On opportunity other other own pre-marriage promised the the their they they this to To to to to to unconventional up was was When which who wished	4.0	3.8936293716400003	0	2	3	roberts + e + this marriage	1.6001761214178096
ROBERTS, MRS EDITH (KNEIPPLE).	This marriage.	759	2.5	306p Bobbs	Books	p8 Mr 16 '41 560w	  alive and are between between build characters develops divided end equally Feld growing Her In Incidents is living logical Mrs of relentlessly Roberts Rose story sympathy tension the the the the the The them they total trivia two up With with	4.0	3.8936293716400003	0	2	3	roberts + e + this marriage	1.6001761214178096
ROBERTS, MRS EDITH (KNEIPPLE).	This marriage.	759	2.5	306p Bobbs	N Y Times	p6 Mr 16 '41 700w	'commonplace 'Modern 'This a an And and and and are attempt author author's be because been beyond book called Clare's comes core day down dramatic far for forced forthright full Hauser have her Implications in incorrect intentions is is It its its life Like like many Marianne Marriage' Marriage,' marriages Martin's melodrama might no nor Not of of of original phrase prefers present- presume problems quite reach simplicity statement.' Stendhal strongly style the the the the There through to to to truthfulness very very warmth we well which yet Yet	4.0	3.8936293716400003	0	2	3	roberts + e + this marriage	1.6001761214178096
CORLEY, PAULINE.	The world and Richard.	193	0.0	324p %Z Random house 41-19641	summary	summary	a a and body boy charge considered handicapped him in incurable mind of patient small Story terribly took twisted understanding until were whose	2.5	3.0904440574699996	1	2	4	corey + p + the road returns	0.8462090346494187
CORLEY, PAULINE.	The world and Richard.	193	0.0	324p %Z Random house 41-19641	-) Books	pl2 O 5 '41 360w	a a after and and and aura blur child Despite distinct events existence fairy for for forgotten frank governed grownups in Individual Is is is linger long loosely many Mary memory of of pattern portrait readers rest Richard' richard's Ross sentimentality soon strung tale that The the the the the which which will will with World your	2.5	3.0904440574699996	1	2	4	corey + p + the road returns	0.8462090346494187
CORLEY, PAULINE.	The world and Richard.	193	0.0	324p %Z Random house 41-19641	■f N Y Times	p7 S 28 '41 850w	  'The a a a a above also and and and and and and appeals are be because been believe book cannot concerned Corley difficult directly does done E emotions faults feeling good H have help him however I I I imagine In inclined is Is is is Is it it it Its its its job Judgment large magazines makes more moving must nard novel of of one one one one overlook painfully passages Pauline perfectly Personally pretty public reminiscent reservations Richard Richard' romantic see sentimental She so surprisingly that that that that the the the think this to to to Walton well Where will With wlnningly women's World write	2.5	3.0904440574699996	1	2	4	corey + p + the road returns	0.8462090346494187
CORLEY, PAULINE.	The world and Richard.	193	0.0	324p %Z Random house 41-19641	Sat R of Lit	24:14 S 27 '41 330w	a affect anything Bates blatantly but embarrassment few for G G is is It more most moving of pages reader sentimental Sometimes story than the the to too with	2.5	3.0904440574699996	1	2	4	corey + p + the road returns	0.8462090346494187
ROBERTS, ELIZABETH MADOX.	Not by strange gods.	759	2.5	244p Viking	Bookmark	2:15 My '41	all backwoods districts in Kentucky love of scened Six stories them	3.44444444444	3.5171963430599997	2	9	13	roberts + em + not by strange gods	2.0752651053540125
ROBERTS, ELIZABETH MADOX.	Not by strange gods.	759	2.5	244p Viking	Books	p3 Mr 23 '41 700w	[the a All all and and and apparently are artless at away ballad else essential from have Innocence Mary of of of of once only results Ross scrupulous selection simplicity stories] that the the the the They told unerring washing which wisdom with	3.44444444444	3.5171963430599997	2	9	13	roberts + em + not by strange gods	2.0752651053540125
ROBERTS, ELIZABETH MADOX.	Not by strange gods.	759	2.5	244p Viking	Cath World	154:125 O '41 130w		3.44444444444	3.5171963430599997	2	9	13	roberts + em + not by strange gods	2.0752651053540125
