bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
HOLLAND, RAYMOND PRUNTY.	My dog.	332	0.0	Lemon [11. by Wesley Dennis]. 8Sp 11.75 Barnes, A.S. Dogs—Legends and stories 45-10491	Book Week	pl9 O 21 '45 230w	a a and and author bird-hunting bought by Championship compete didn't discovered dog he he he his how how how In In It matter National next nose of of one Peter Qulnn related Reviewed series short sold stories story tells the the the the was was was what why with won		3.5352494577	0	0	4	holland + rp + my dog, lemon	1.3736093279504742
HOLLAND, RAYMOND PRUNTY.	My dog.	332	0.0	Lemon [11. by Wesley Dennis]. 8Sp 11.75 Barnes, A.S. Dogs—Legends and stories 45-10491	Klrkuc	13:443 O 1 '46 60w			3.5352494577	0	0	4	holland + rp + my dog, lemon	1.3736093279504742
HOLLAND, RAYMOND PRUNTY.	My dog.	332	0.0	Lemon [11. by Wesley Dennis]. 8Sp 11.75 Barnes, A.S. Dogs—Legends and stories 45-10491	N Y Times	p23 D 9 '46 250w	'My a a C contribution Dog dog ephemeral hour's If Is Lemon* literature M major not of pleasant R reading; the the to		3.5352494577	0	0	4	holland + rp + my dog, lemon	1.3736093279504742
HOLLAND, RAYMOND PRUNTY.	My dog.	332	0.0	Lemon [11. by Wesley Dennis]. 8Sp 11.75 Barnes, A.S. Dogs—Legends and stories 45-10491	New Yorker	21:108 O IS '46 60w			3.5352494577	0	0	4	holland + rp + my dog, lemon	1.3736093279504742
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	summary	summary	a a a a a a a against and and and aspect at background between Bloomsbury come Cornwall days dead edges encounters end English eyes frayed from German girl girl's have her humane in In influence intellectuals into invasion is life marriage marries moment Munich New nice noble of of of of of of of of once only outer part particularly Poland remote see seemed she society soft some story that the the the the The the the Through to to told unhappy unpleasant upon we which who wnom world Yorker	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	Book Week	p4 Ag 26 '45 550w	'Island a a account against an and and Anyone ap- approaching awakened background Bullock careful copious during emotional England English enjpy excellent F fine gradually H her how in Innocent' is It Kent's maturing mental Mrs novel of of of of of of peasement period political sleep sort steadfast stirred study the the the the thorough to understand war who will wishes woman young	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	Booklist	42:19 S '45		3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	-| Christian Science Monitor	p!4 S 20 '46 350w	all and and and are characters conscience convincing; credible dolce England's far for honest Horace individuals is is It movements niente of of personalize picture Reynolds sincere that The the The the they touches world writing years	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	Klrkus	13:258 Je 15 '45 170w		3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	N Y Times	p26 Ag 26 '45 650w	'humanitarianism' (which accept against allies and as Balakian But case discredit easy English hard her idealism Is is It Kent Miss Nona not not pacifism) pictures Pre-war she so socialism to to with	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	New Yorker	21:61 AK 25 '45 SOw	An and done feeling Interesting purpose story with	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	Sat R of Lit	28:10 O 6 '45 450w	  'Intellectuals' 'Island Although altogether an and and at basic being best dialogue different episodes even far from good gratifying her her her however in In Innocent' Interesting intertwining is Is Is is Its its Kent less Marquand Miss much novel novel of of of one Pick plot poignant reminds repartee Robert satisfactory sometimes the the themes	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	Springf d Republican	p4d Ag 26 '45 900w	a a above all and Earnest faith feel firm genuinely has her humble in interesting Kent L making marks moralities Mrs Munn novel of old old old plainly reader S she shows sincerity this truths very virtues way	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
KENT, MADELEINE.	Island of the innocent.	381	2.5	302p Harper	Weekly Book Review	p8 Ag 26 '45 900w	'Island 382 a a a a about along always and As beneath book content covers for home-truths Innocent.' Is is is is It it it make miles novel of of of packed painstakingly pedestrian plods point prove quality rather reader reflect Sapieha so somewhat sound stooping than the the the the the the there this to to trek unarguably used Virffilia vision weary weight when which which with Yet	3.6	3.56762472885	1	5	10	kent + m + island of the innocent	2.0998242974115717
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Mary Patten's daugh- ters.	1946	2.0	266p Lippincott	summary	summary	a a a a affairs an and and anything beloved break But Character choosing contact cord could daughter daughter daughters eyes family for friend had had hand hard helped her her her her her in love man married Mary Mary's never not not of of older on opened own Patten proud she silver sister so study subtle the the thru to took two understanding unloved wanted war was when who with woman young younger		3.5352494577	2	0	6	abbott + jld + mary patten's daughters	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Mary Patten's daugh- ters.	1946	2.0	266p Lippincott	-. Book Week	pl2 Je 3 '45 230w	  a a a Abbott's adroitly alive although an and and and animated as balanced breezy characters coincidence come deeply depth despite dimension Dorsha Easily essentially even expect fact fashion fiction flowing for for Hayes if in in is is Is Is Is isn't it its lacking light manipulated most moves moving Mrs much nevertheless not novel obviously of of one part Perhaps plot put react reason scenes sense sentimental shallow situations skillful so speak story story that that that that that The the the the the the them there they to to together too too weighted well which with with would you zest		3.5352494577	2	0	6	abbott + jld + mary patten's daughters	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Mary Patten's daugh- ters.	1946	2.0	266p Lippincott	Booklist	41:302 Je 15 '45			3.5352494577	2	0	6	abbott + jld + mary patten's daughters	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Mary Patten's daugh- ters.	1946	2.0	266p Lippincott	Kirkus	13:114 Mr 15 '45 90w			3.5352494577	2	0	6	abbott + jld + mary patten's daughters	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Mary Patten's daugh- ters.	1946	2.0	266p Lippincott	N Y Times	p!6 Je 10 '45 llOw	Andrea by Parke Reviewed		3.5352494577	2	0	6	abbott + jld + mary patten's daughters	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Mary Patten's daugh- ters.	1946	2.0	266p Lippincott	Weekly Book Review	p!4 Je 3 '45 90w	Bell by Lisle Reviewed		3.5352494577	2	0	6	abbott + jld + mary patten's daughters	1.8826010942310645
FIELD, PETER, pseud.	End of the trail.	229	2.0	(Jef- ferson house publication) 186p Morrow	Booklist	42:111 D 1 '45	and Combination detective of story story Western		3.5352494577	3	0	3	field + p + end of the trail	1.7821472195398518
