bookauthor	booktitle	brdpage	price	publisher	publication	citation	quote	avgsentiment	avgsentwmissing	bookindex	numreviewswithsent	numreviewsofbk	authtitlefromindex	matchcloseness
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Yours for the asking.	1944	2.0	309p LJpplncott	summary	summary	A a a acquaintance after and charming first five-weeks' full go had has he his In Is Its Kentucky married minister mountains near of of parish quota readjustment shy story the The their to tragedies which whom wife with year young	4.0	3.7547318612000002	0	1	4	abbott + jld + yours for the asking	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Yours for the asking.	1944	2.0	309p LJpplncott	Books	pl8 Ja 31 '43 230w	'Tours a a a Abbott's and and are as as Ask- been Bell characters content distinct drawn find firmly for gain gives greater handled has high illusion in in ing' Is Is It Jane Lisle manner more most not novels of of of one rationing readers reality recent some story sugar that The the the the will	4.0	3.7547318612000002	0	1	4	abbott + jld + yours for the asking	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Yours for the asking.	1944	2.0	309p LJpplncott	N Y Time*	p20 Ja 31 '43 160w	by Charlotte Dean Reviewed	4.0	3.7547318612000002	0	1	4	abbott + jld + yours for the asking	1.8826010942310645
ABBOTT, JANE LUDLOW (DRAKE) (MRS FRANK ABBOTT).	Yours for the asking.	1944	2.0	309p LJpplncott	Wit Lib Bui	39:41 Mr '43		4.0	3.7547318612000002	0	1	4	abbott + jld + yours for the asking	1.8826010942310645
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Book Week	p9 My 16 '43 180w	British II in navy of stores the Twenty-two war World	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Booklist	39:388 Je 1 '43		4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	New Yorker	19:79 My 15 '43 20w	Shipshape unpretentious yarns	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Times [London] Lit Sup	p5 Ja 2 '43 300w	a a a actual and as as at could entertainment events fiction good great Hackforth-Jones helps his in Is is it its mere mere more moreover Mr narrative no of one owe readers sea service so story-teller such than that that; the they to to understand value very which worth	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Weekly Book Review	p21 Je 6 '43 500w	by C J Reviewed Searles	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Book Week	p8 N 14 '43 HOw	(HOERNER) 43-15369 [49p] A a a a A A about after and attractive be bear better book boy brave but decided E,nMER- go had he he hungry hunter hunter Indian J Library little Macmlllan met mi&hty most MR?,C!ER,TA on p P picture school tale that The to to wanted Whitney who	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Booklist	40:200 F 1 '44		4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Horn Bk	19:402 N '43 60w	A by Jordan M Reviewed	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Library J	68:821 O 16 '43 40w	by E Littlefleld Reviewed S	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Library J	68:963 N 15 '43 70w	by Goodwin L M Reviewed	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	New Yorker	19:119 D 4 '43 40w		4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
HACKFORTH-JONES, GILBERT.	Torpedo! stories of the royal navy [Eng title: One— one—one; stories of the navy].	337	12.6	247p Morrow [7s 6d Hodder] 43-6283	Weekly Book Review	p!2 N 14 '43 250w	(and aloud and and animals are Becker child colored enjoys fine interest it L large M make of pictures pleasantly re- read read) repetitions rising smallest so so story's that The the the them to while	4.0	3.7819838766199996	1	4	12	hackforth-jones + g + torpedo	1.70027334142939
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Book Week	p5 Je 13 '43 360w	a A accompanied account an and appeared as Atlantic Bracken Brendan by by Churchill Costine D day England event few from from gives he him his history-making home Index it journalists meeting mission of of of One return Reviewed secret summoned that the the the the to to to to told was who Winston	4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Booklist	39:423 Je 15 '43		4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Christian Science Monitor plO Ag	14 •43 90w		4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	N Y Times	p!6 My 23 '43 700w	a absorbingly Adams and book books episodes eye F H has have his history-making humor interesting is is made Morton observant of of of one pictured popular quiet result S same setting so that that the the the the The travel V war With	4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Spec	170:346 Ap 9 '43 90w		4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Springf'd Republican	p7e My 23 '43		4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Times [London] Lit Sup	p!79 Ap 10 '48 210w	a a adventure also and and and As aware beginning; board Buchan's Churchill's clear conjectures description destination detail end everything exactly fine for for freshness gift guide has he his his his impression information instead Is Is Is Its John Journey keeps kind life like making more Morton movement MOW Mr Mr narrative; noting of of of of of of of on on personality photographs right right romance secrecy start still story the the the the the the there this to to to unknown vivid well-chosen with with	4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
MORTON, HENRY CANOVA VOLLAM.	At- lantic meeting.	588	2.5	Winston	Weekly Book Review	p!7 My 30 '43 950w	A account Beach Conger entertaining most	4.0	3.79560988433	2	3	8	Hathi: morton h v henry vollam + atlantic meeting, an account of mr. churchill's voyage in h.m.s. prince of wales, in august, 1941, and the conference with president roosevelt which resulted in the atlantic charter	1.13
WARREN, ROBERT PENN.	At heaven's gate.	846	2.5	391p Harcourt	summary	summary	a a about adventures After against amorous an an an an and apartment are aristocratic at autocratic but by central character daughter death ex-lover father's father's financier find her her her him him home in is is Just leaves life murdered Murdock of of of out over own Portrays present-day Rebelling saves series sins Southern state Sue Sue Sue Sue's Sympathy takes the time to unscrupulous unspecified ways when	2.75	3.14556106354	3	8	14	warren + rp + at heaven's gate	1.9877795910252192
WARREN, ROBERT PENN.	At heaven's gate.	846	2.5	391p Harcourt	Atlantic	172:131 S '43 90w	alternating and and are beauty coarseness disillusionment in of poetic rich story tenderness There thla violence	2.75	3.14556106354	3	8	14	warren + rp + at heaven's gate	1.9877795910252192
WARREN, ROBERT PENN.	At heaven's gate.	846	2.5	391p Harcourt	Book Week	p3 As 22 '43 E50w	by North Reviewed Sterling	2.75	3.14556106354	3	8	14	warren + rp + at heaven's gate	1.9877795910252192
WARREN, ROBERT PENN.	At heaven's gate.	846	2.5	391p Harcourt	Christian Century	60:991 S 1 '43 70w	'a a a about According against alter.' author's be beings beings beyond blurb by by by cannot deal do even false fate great handicapped has having he he His human human in indicated is kind language made not novel of of of of pages people perhaps power power presupposition real sample seem so struggling that the The the their them them these thinks this though to to undoubted use very violence	2.75	3.14556106354	3	8	14	warren + rp + at heaven's gate	1.9877795910252192
WARREN, ROBERT PENN.	At heaven's gate.	846	2.5	391p Harcourt	Commonweal	38:398 Ag 6 '43 800w	'At a a a a a all an and and and and anyone artifices arty as as author because because become being book brutal but but close come comes connectives corrupt does edge especially excessive few few for for for formally frankly Gate' gets has have He he he Heaven's Hence here his how In is Is is is is it it It it it It its knows language make merely more not not not novel occasionally of of of off off Once Penn peppering plot read reader really recommend recommended reflections Robert seems something springboard style such tedious terribly the the the the the to to to to tragic tragic tragic tragic us used very Warren way well when which will with write you you	2.75	3.14556106354	3	8	14	warren + rp + at heaven's gate	1.9877795910252192
WARREN, ROBERT PENN.	At heaven's gate.	846	2.5	391p Harcourt	Library J	68:625 Ag '43 70w	and book cases class Faulkner's frank G H In Kelley Palms peopled psychological same sex-cen- tered violent Well-written Wild with with	2.75	3.14556106354	3	8	14	warren + rp + at heaven's gate	1.9877795910252192
