volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"green, paul","green, paul.",96,forever growing; some notes on,"forever growing; some notes on a credo for teachers, by paul green.",forever growing; some notes on,forever growing; some notes on a credo for.,106,100,1945.0,1946,mdp.39015031237087,660
"ruark, robert chester","ruark, robert c.",81,"grenadine etching, her life an","grenadine etching, her life and loves.","grenadine etching, her life an","grenadine etching, her life and loves.",106,100,1952.0,1947,uc1.b3727812,1205
"gogarty, oliver st. john","gogarty, oliver st john.",96,as i was goin,"as i was going down sackville street, by oliver st. j. gogarty.",as i was going down sackville ,as i was going down sackville street.,106,100,1937.0,1937,uc1.b3835561,2770
"kraus, rené","kraus, rene.",87,private and public li,"the private and public life of socrates, by rené kraus; translated by barrows mussey.",private and public life of soc,the private and public life of socrates; tr.,106,100,1940.0,1940,uc1.$b45586,5155
"caine, william","caine, william.",97,great-snakes! ,"great-snakes! a variation on a classical theme, by william caine.",great-snakes! a variation on a,great-snakes! a variation on a classical theme.,106,100,1916.0,1916,nyp.33433074938535,1265
"greene, graham","greene, graham.",97,ministry o,the ministry of fear; an entertainment [by] graham greene.,ministry of fear; an entertain,ministry of fear; an entertainment.,106,100,1950.0,1943,mdp.39015000619059,3129
"kelly, eric philbrook","kelly, eric philbrook.",98,at the sign of the golden comp,"at the sign of the golden compass; a tale of the printing house of christopher plantin in antwerp, 1576, by eric p. kelly, together with illustrations by raymond lufkin.",at the sign of the golden comp,at the sign of the golden compass; with 11.,106,100,1938.0,1938,uc1.b4098794,5454
"kataev, valentin","kataev, valentin petrovich.",74,peace is where the tempests bl,peace is where the tempests blow; translated from the russian by charles malamuth.,peace is where the tempests bl,peace is where the tempests blow; tr.,106,100,1937.0,1937,uc1.b4411113,331
"gébler, ernest",gebler. ernest.,83,plymouth adventure; a chronicl,the plymouth adventure; a chronicle novel of the voyage of the mayflower.,plymouth adventure; a chronicl,plymouth adventure; a chronicle novel of the voyage of the mayflower.,106,100,1950.0,1950,uc1.$b100744,2079
"knight, kathleen moore","knight, kathleen moore.",98,clue of the poor man's shillin,"the clue of the poor man's shilling, by kathleen moore knight.",clue of the poor man's shillin,the clue of the poor man's shilling.,106,100,1936.0,1936,mdp.39015063514684,441
"keeler, harry stephen","keeler, harry stephen.",98,mystery of the fiddling cracks,the mystery of the fiddling cracksman by harry stephen keeler.,mystery of the fiddling cracks,mystery of the fiddling cracksman (eng title: fiddling cracksman).,106,100,1934.0,1934,osu.32435066780875,1914
"kane, samuel e",kane. samuel e.,90,life or death in luzon; thirty,"life or death in luzon; thirty years of adventure with the philippine highlanders,",life or death in luzon; thirty,life or death in luzon; thirty years of adventure with the philippine s 919.14 philippine islands— social life and cus-,106,100,1933.0,1933,mdp.39015027796070,400
"wise, jennings c. (jennings cropper)",wise. jennings cropper.,75,great crusade; a chroni,"the great crusade; a chronicle of the late war, by jennings c. wise.",great crusade; a chronicle of ,great crusade; a chronicle of the late war.,106,100,1930.0,1930,mdp.39015023145249,4995
"gaer, joseph","gaer, joseph, ed.",83,our lives; american ,our lives; american labor stories.,our lives; american labor stor,our lives; american labor stories.,106,100,1948.0,1948,mdp.39015011694653,5215
"whitlock, brand","whitlock, brand.",97,narcissus; a belgian le,"narcissus; a belgian legend of van dyck, by brand whitlock.",narcissus; a belgian legend of,narcissus; a belgian legend of van dyck.,106,100,1931.0,1931,uc1.$b312811,884
"wild, max","wild, max.",95,secret servic,"secret service on the russian front, by max wild.",secret service on the russian ,secret service on the russian front [tr.,106,100,1932.0,1932,mdp.39015030668407,378
"curwood, james oliver","curwood, james oliver.",98,valley of silent men; a story ,"the valley of silent men; a story of the three river country, by james oliver curwood ... illustrated by dean cornwell.",valley of silent men; a story ,valley of silent men; a story of the three river country.,106,100,1920.0,1920,uc1.b3687303,2011
"wiley, hugh","wiley, hugh.",96,copper mask,"the copper mask, and other stories by hugh wiley.","copper mask, and other stories","copper mask, and other stories.",106,100,1932.0,1932,uc1.$b105997,508
"chase, mary ellen","chase, mary ellen.",97,girl from ,"the girl from the big horn country,",girl from the big horn country,"girl from the big horn country, il",106,100,1916.0,1916,umn.31951000955121j,2149
"cresswell, clarice m","cresswell, clarice m.",98,making and breaking of ,the making and breaking of almansur ...,making and breaking of almansu,making and breaking of almansur.,106,100,1915.0,1916,nyp.33433074949615,1056
